CD,S2018
1,0.270627
2,0.375503
3,0.420651
4,0.367805
5,0.397119
6,0.381104
7,0.675088
8,0.368120
9,0.797029
10,0.410613
11,0.302072
12,0.417257
13,0.279629
14,0.369665
15,0.558730
16,0.745831
17,0.389470
18,0.773518
19,0.279804
20,0.697281
21,0.397394
22,0.413512
23,0.490724
24,0.426694
25,0.349671
26,0.399976
27,0.399802
28,0.594074
29,0.762120
30,0.804184
31,0.394372
32,0.672052
33,0.790343
34,0.657009
35,0.769775
36,0.351954
37,0.786190
38,0.397165
