METRIC,G2018
Vf,0.432364
Sf,0.350618
EG,0.014110
PR,0.081746
GAMMA,0.111255
BS_50,0.109485
BV_50,0.043409
BS_V,0.011513
GS,0.067589
MM,0.079994
LO,-0.000555
DECL,16.321188
R,2.208622
r,0.563710
Sb,0.350618
Ra,0.675309
Rb,0.175309
Va,0.667785
Vb,0.332770
L_Vf,0.410000
L_Sf,0.333312
U_Vf,0.455000
U_Sf,0.361081
