CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
13,0.257118,0.268872,0.231234,0.255048,0.279629,0.247027,0.277602,0.259902,0.007733,0.029754,-0.002784,-0.010712,-0.360016
19,0.257579,0.265482,0.245827,0.249286,0.279804,0.244110,0.279381,0.260648,0.006742,0.025866,-0.003069,-0.011775,-0.455206
1,0.260036,0.267933,0.253895,0.261381,0.270627,0.245208,0.273070,0.262019,0.004398,0.016785,-0.001983,-0.007568,-0.450887
11,0.286238,0.295393,0.280014,0.285209,0.302072,0.266654,0.299589,0.288155,0.005520,0.019156,-0.001917,-0.006653,-0.347283
25,0.328745,0.341999,0.307615,0.326600,0.349671,0.303591,0.347844,0.329553,0.008283,0.025134,-0.000808,-0.002452,-0.097549
36,0.334995,0.340003,0.327801,0.328594,0.351954,0.313238,0.354028,0.335936,0.006418,0.019105,-0.000941,-0.002801,-0.146619
4,0.346087,0.368535,0.319766,0.343933,0.367805,0.313504,0.363745,0.346215,0.010077,0.029106,-0.000128,-0.000370,-0.012702
8,0.351187,0.362310,0.333984,0.348581,0.368120,0.329401,0.365819,0.351369,0.006835,0.019452,-0.000182,-0.000518,-0.026628
14,0.353388,0.355344,0.352332,0.344154,0.369665,0.330517,0.372129,0.354023,0.006395,0.018064,-0.000635,-0.001794,-0.099296
2,0.360292,0.384543,0.333148,0.363748,0.375503,0.326048,0.370421,0.358902,0.009716,0.027071,0.001390,0.003873,0.143063
6,0.362381,0.378733,0.337759,0.363637,0.381104,0.334556,0.380071,0.362643,0.008780,0.024211,-0.000262,-0.000722,-0.029841
17,0.371305,0.385529,0.351915,0.369711,0.389470,0.346962,0.388944,0.372088,0.007769,0.020879,-0.000783,-0.002104,-0.100785
31,0.373574,0.396849,0.340287,0.377975,0.394372,0.335750,0.388606,0.372306,0.011178,0.030024,0.001268,0.003406,0.113437
5,0.374563,0.386464,0.350457,0.372377,0.397119,0.351266,0.394256,0.375323,0.008492,0.022626,-0.000760,-0.002025,-0.089496
21,0.375889,0.400011,0.352661,0.370309,0.397394,0.338106,0.392809,0.375215,0.010530,0.028064,0.000674,0.001796,0.064008
26,0.376201,0.405975,0.338574,0.374950,0.399976,0.338101,0.389104,0.374447,0.012205,0.032595,0.001754,0.004684,0.143712
38,0.379187,0.408096,0.359659,0.374491,0.397165,0.335593,0.392820,0.377971,0.011015,0.029142,0.001216,0.003217,0.110395
27,0.380975,0.386367,0.387348,0.375347,0.399802,0.341247,0.400908,0.381837,0.008994,0.023555,-0.000862,-0.002258,-0.095842
10,0.385629,0.404333,0.360640,0.380725,0.410613,0.353474,0.403557,0.385557,0.009963,0.025841,0.000072,0.000187,0.007227
12,0.391109,0.407821,0.364825,0.383987,0.417257,0.362752,0.408340,0.390830,0.009670,0.024742,0.000279,0.000714,0.028852
22,0.394876,0.418590,0.373499,0.392596,0.413512,0.357492,0.408631,0.394053,0.009924,0.025184,0.000823,0.002089,0.082930
3,0.396491,0.426784,0.361642,0.392456,0.420651,0.356470,0.411963,0.394994,0.012328,0.031211,0.001497,0.003790,0.121431
24,0.400117,0.437264,0.374114,0.391913,0.426694,0.347398,0.415690,0.398846,0.013954,0.034986,0.001271,0.003187,0.091085
23,0.463500,0.463595,0.478394,0.444130,0.490724,0.428373,0.483190,0.464734,0.009917,0.021339,-0.001234,-0.002655,-0.124433
15,0.520890,0.485471,0.568635,0.475912,0.558730,0.501035,0.563175,0.525493,0.017363,0.033041,-0.004603,-0.008759,-0.265104
28,0.563849,0.535666,0.600103,0.534134,0.594074,0.534654,0.603126,0.566960,0.014425,0.025443,-0.003111,-0.005487,-0.215667
34,0.621187,0.578402,0.688119,0.579045,0.657009,0.581343,0.663559,0.624580,0.020562,0.032921,-0.003393,-0.005432,-0.165013
7,0.644645,0.650734,0.657580,0.617733,0.675088,0.604469,0.668133,0.645623,0.011569,0.017919,-0.000978,-0.001515,-0.084536
32,0.646121,0.667634,0.637511,0.632401,0.672052,0.601966,0.660670,0.645372,0.010887,0.016869,0.000749,0.001161,0.068798
20,0.665289,0.668197,0.669592,0.644089,0.697281,0.628534,0.689215,0.666151,0.010675,0.016025,-0.000862,-0.001294,-0.080749
16,0.700973,0.679849,0.722530,0.673349,0.745831,0.678087,0.716110,0.702626,0.012142,0.017281,-0.001653,-0.002353,-0.136139
29,0.723064,0.685831,0.757491,0.678976,0.762120,0.715441,0.757095,0.726159,0.015491,0.021333,-0.003095,-0.004262,-0.199793
35,0.734449,0.730314,0.725697,0.710770,0.769775,0.715209,0.760411,0.735363,0.009902,0.013465,-0.000914,-0.001243,-0.092305
18,0.750750,0.746060,0.769063,0.726801,0.773518,0.721106,0.769707,0.751043,0.009464,0.012601,-0.000293,-0.000390,-0.030959
37,0.755310,0.769082,0.743703,0.735895,0.786190,0.719634,0.776779,0.755214,0.010628,0.014073,0.000096,0.000127,0.009033
33,0.762571,0.753030,0.767259,0.735272,0.790343,0.746445,0.781633,0.762330,0.008665,0.011366,0.000241,0.000316,0.027813
9,0.775017,0.770056,0.795988,0.753824,0.797029,0.742632,0.794189,0.775620,0.009682,0.012483,-0.000603,-0.000777,-0.062281
30,0.783181,0.787229,0.789568,0.767462,0.804184,0.750345,0.797495,0.782714,0.008220,0.010502,0.000467,0.000597,0.056813
