Vf,composite
0.250,0.002487
0.255,0.004100
0.260,0.006516
0.265,0.009995
0.270,0.014807
0.275,0.021210
0.280,0.029409
0.285,0.039523
0.290,0.051551
0.295,0.065362
0.300,0.080695
0.305,0.097185
0.310,0.114402
0.315,0.131900
0.320,0.149266
0.325,0.166157
0.330,0.182320
0.335,0.197598
0.340,0.211921
0.345,0.225278
0.350,0.237702
0.355,0.249239
0.360,0.259938
0.365,0.269840
0.370,0.278978
0.375,0.287381
0.380,0.295076
0.385,0.302098
0.390,0.308492
0.395,0.314313
0.400,0.319624
0.405,0.324492
0.410,0.328987
0.415,0.333171
0.420,0.337101
0.425,0.340823
0.430,0.344374
0.435,0.347781
0.440,0.351065
0.445,0.354239
0.450,0.357318
0.455,0.360313
0.460,0.363237
0.465,0.365938
0.470,0.368607
0.475,0.371474
0.480,0.374608
0.485,0.378099
0.490,0.382060
0.495,0.386624
0.500,0.391950
0.505,0.398216
0.510,0.405617
0.515,0.414356
0.520,0.424637
0.525,0.436649
0.530,0.450556
0.535,0.466478
0.540,0.484479
0.545,0.504554
0.550,0.526619
0.555,0.550511
0.560,0.575989
0.565,0.602743
0.570,0.630409
0.575,0.658590
0.580,0.686878
0.585,0.714878
0.590,0.742229
0.595,0.768621
0.600,0.793804
0.605,0.817591
0.610,0.839859
0.615,0.860536
0.620,0.879590
0.625,0.897019
0.630,0.912837
0.635,0.927071
0.640,0.939752
0.645,0.950921
0.650,0.960627
0.655,0.968934
0.660,0.975921
0.665,0.981687
0.670,0.986350
0.675,0.990037
0.680,0.992887
0.685,0.995035
0.690,0.996615
0.695,0.997748
0.700,0.998538
0.705,0.999074
0.710,0.999429
0.715,0.999656
0.720,0.999799
0.725,0.999885
0.730,0.999936
0.735,0.999966
0.740,0.999982
0.745,0.999991
0.750,0.999995
