Vf,G2018
0.250,0.005349
0.255,0.008470
0.260,0.012917
0.265,0.018988
0.270,0.026935
0.275,0.036919
0.280,0.048960
0.285,0.062917
0.290,0.078485
0.295,0.095219
0.300,0.112589
0.305,0.130044
0.310,0.147084
0.315,0.163318
0.320,0.178491
0.325,0.192500
0.330,0.205368
0.335,0.217211
0.340,0.228195
0.345,0.238492
0.350,0.248253
0.355,0.257583
0.360,0.266540
0.365,0.275141
0.370,0.283368
0.375,0.291192
0.380,0.298579
0.385,0.305503
0.390,0.311954
0.395,0.317937
0.400,0.323470
0.405,0.328584
0.410,0.333312
0.415,0.337692
0.420,0.341755
0.425,0.345530
0.430,0.349043
0.435,0.351861
0.440,0.354193
0.445,0.356498
0.450,0.358788
0.455,0.361081
0.460,0.363405
0.465,0.365795
0.470,0.368297
0.475,0.370975
0.480,0.373906
0.485,0.377191
0.490,0.380951
0.495,0.385335
0.500,0.390515
0.505,0.396687
0.510,0.404066
0.515,0.412878
0.520,0.423350
0.525,0.435696
0.530,0.450101
0.535,0.466703
0.540,0.485578
0.545,0.506728
0.550,0.530064
0.555,0.555414
0.560,0.582515
0.565,0.611030
0.570,0.640560
0.575,0.670670
0.580,0.700904
0.585,0.730818
0.590,0.759993
0.595,0.788057
0.600,0.814693
0.605,0.839646
0.610,0.862727
0.615,0.883808
0.620,0.902818
0.625,0.919738
0.630,0.934594
0.635,0.947453
0.640,0.958415
0.645,0.967611
0.650,0.975195
0.655,0.981336
0.660,0.986214
0.665,0.990012
0.670,0.992907
0.675,0.995066
0.680,0.996641
0.685,0.997762
0.690,0.998543
0.695,0.999072
0.700,0.999423
0.705,0.999650
0.710,0.999792
0.715,0.999880
0.720,0.999932
0.725,0.999963
0.730,0.999980
0.735,0.999989
0.740,0.999995
0.745,0.999997
0.750,0.999999
