CD,S2020
1,0.261381
2,0.363748
3,0.392456
4,0.343933
5,0.372377
6,0.363637
7,0.617733
8,0.348581
9,0.753824
10,0.380725
11,0.285209
12,0.383987
13,0.255048
14,0.344154
15,0.475912
16,0.673349
17,0.369711
18,0.726801
19,0.249286
20,0.644089
21,0.370309
22,0.392596
23,0.444130
24,0.391913
25,0.326600
26,0.374950
27,0.375347
28,0.534134
29,0.678976
30,0.767462
31,0.377975
32,0.632401
33,0.735272
34,0.579045
35,0.710770
36,0.328594
37,0.735895
38,0.374491
