METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.462228,0.471691,0.452877,0.450504,0.487067,0.432364,0.481899
Sf,0.364521,0.355322,0.375017,0.346110,0.380816,0.350618,0.378062
EG,0.059935,0.088060,0.030737,0.054898,0.093318,0.014110,0.085736
PR,0.097707,0.116369,0.077860,0.104394,0.106251,0.081746,0.103837
GAMMA,0.115079,0.118530,0.109851,0.125839,0.111230,0.111255,0.112827
BS_50,0.108050,0.108356,0.105409,0.108102,0.109522,0.109485,0.109870
BV_50,0.043866,0.037545,0.050826,0.037311,0.049295,0.043409,0.048536
BS_V,0.079551,0.089826,0.069657,0.048256,0.106884,0.011513,0.104369
GS,0.059529,0.052833,0.068169,0.058923,0.055763,0.067589,0.056945
MM,0.073859,0.063733,0.089643,0.068148,0.075005,0.079994,0.075951
LO,0.048114,0.060834,0.039214,0.030307,0.087148,-0.000555,0.079881
DECL,22.127879,25.092450,19.613680,21.401212,26.118355,16.321188,25.351467
R,3.586748,5.110685,2.652275,3.109150,9.215505,2.208622,6.736512
r,0.540073,0.923661,0.321118,0.566744,0.615027,0.563710,0.503301
Sb,0.364521,0.355322,0.375017,0.346110,0.380816,0.350618,0.378062
Ra,0.682261,0.677661,0.687508,0.673055,0.690408,0.675309,0.689031
Rb,0.182261,0.177661,0.187508,0.173055,0.190408,0.175309,0.189031
Va,0.641575,0.623415,0.663032,0.642087,0.624442,0.667785,0.627739
Vb,0.310310,0.315750,0.297754,0.327605,0.288410,0.332770,0.292379
L_Vf,0.440000,0.450000,0.430000,0.430000,0.465000,0.410000,0.460000
L_Sf,0.351065,0.337170,0.366368,0.332713,0.368578,0.333312,0.368050
U_Vf,0.485000,0.495000,0.475000,0.475000,0.510000,0.455000,0.505000
U_Sf,0.378099,0.383225,0.382089,0.362314,0.401259,0.361081,0.395011
