METRIC,P2020
Vf,0.471691
Sf,0.355322
EG,0.088060
PR,0.116369
GAMMA,0.118530
BS_50,0.108356
BV_50,0.037545
BS_V,0.089826
GS,0.052833
MM,0.063733
LO,0.060834
DECL,25.092450
R,5.110685
r,0.923661
Sb,0.355322
Ra,0.677661
Rb,0.177661
Va,0.623415
Vb,0.315750
L_Vf,0.450000
L_Sf,0.337170
U_Vf,0.495000
U_Sf,0.383225
