CD,composite
1,0.260036
2,0.360292
3,0.396491
4,0.346087
5,0.374563
6,0.362381
7,0.644645
8,0.351187
9,0.775017
10,0.385629
11,0.286238
12,0.391109
13,0.257118
14,0.353388
15,0.520890
16,0.700973
17,0.371305
18,0.750750
19,0.257579
20,0.665289
21,0.375889
22,0.394876
23,0.463500
24,0.400117
25,0.328745
26,0.376201
27,0.380975
28,0.563849
29,0.723064
30,0.783181
31,0.373574
32,0.646121
33,0.762571
34,0.621187
35,0.734449
36,0.334995
37,0.755310
38,0.379187
