CD,AG2018
1,0.273070
2,0.370421
3,0.411963
4,0.363745
5,0.394256
6,0.380071
7,0.668133
8,0.365819
9,0.794189
10,0.403557
11,0.299589
12,0.408340
13,0.277602
14,0.372129
15,0.563175
16,0.716110
17,0.388944
18,0.769707
19,0.279381
20,0.689215
21,0.392809
22,0.408631
23,0.483190
24,0.415690
25,0.347844
26,0.389104
27,0.400908
28,0.603126
29,0.757095
30,0.797495
31,0.388606
32,0.660670
33,0.781633
34,0.663559
35,0.760411
36,0.354028
37,0.776779
38,0.392820
