METRIC,S2018
Vf,0.533186
Sf,0.564211
EG,0.002161
PR,-0.031025
GAMMA,0.046254
BS_50,0.050413
BV_50,0.014144
BS_V,0.049196
GS,0.022141
MM,0.012152
LO,0.052676
DECL,6.355977
R,1.934896
r,3.328676
Sb,0.564211
Ra,0.782106
Rb,0.282106
Va,0.560300
Vb,0.387024
L_Vf,0.510000
L_Sf,0.485340
U_Vf,0.555000
U_Sf,0.641314
