Vf,G2018
0.250,0.000019
0.255,0.000038
0.260,0.000072
0.265,0.000133
0.270,0.000240
0.275,0.000419
0.280,0.000711
0.285,0.001173
0.290,0.001881
0.295,0.002933
0.300,0.004449
0.305,0.006567
0.310,0.009436
0.315,0.013204
0.320,0.018006
0.325,0.023939
0.330,0.031055
0.335,0.039336
0.340,0.048695
0.345,0.058972
0.350,0.069948
0.355,0.081361
0.360,0.092940
0.365,0.104428
0.370,0.115614
0.375,0.126354
0.380,0.136581
0.385,0.146310
0.390,0.155628
0.395,0.164675
0.400,0.173625
0.405,0.182664
0.410,0.191969
0.415,0.201693
0.420,0.211957
0.425,0.222843
0.430,0.234400
0.435,0.246648
0.440,0.259584
0.445,0.273190
0.450,0.287441
0.455,0.302306
0.460,0.317755
0.465,0.333754
0.470,0.350270
0.475,0.367259
0.480,0.384669
0.485,0.402435
0.490,0.420478
0.495,0.438703
0.500,0.457002
0.505,0.475256
0.510,0.493343
0.515,0.511141
0.520,0.528536
0.525,0.545429
0.530,0.561739
0.535,0.577409
0.540,0.592408
0.545,0.606730
0.550,0.620752
0.555,0.636683
0.560,0.652836
0.565,0.669380
0.570,0.686478
0.575,0.704262
0.580,0.722823
0.585,0.742185
0.590,0.762298
0.595,0.783029
0.600,0.804163
0.605,0.825415
0.610,0.846450
0.615,0.866901
0.620,0.886408
0.625,0.904638
0.630,0.921316
0.635,0.936239
0.640,0.949293
0.645,0.960450
0.650,0.969763
0.655,0.977353
0.660,0.983391
0.665,0.988077
0.670,0.991626
0.675,0.994248
0.680,0.996137
0.685,0.997464
0.690,0.998373
0.695,0.998980
0.700,0.999376
0.705,0.999627
0.710,0.999782
0.715,0.999876
0.720,0.999931
0.725,0.999963
0.730,0.999980
0.735,0.999990
0.740,0.999995
0.745,0.999997
0.750,0.999999
