CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2018,CD,G2018,CD,AG2018
1,0.408612,1,0.399558,1,0.376859,1,0.402028,1,0.435415,1,0.444163,1,0.404809
2,0.372153,2,0.356494,2,0.350681,2,0.355152,2,0.403550,2,0.418148,2,0.366374
3,0.518690,3,0.543309,3,0.500791,3,0.511625,3,0.517105,3,0.537029,3,0.496834
4,0.465820,4,0.479907,4,0.449734,4,0.453798,4,0.472287,4,0.489720,4,0.449844
5,0.389392,5,0.377049,5,0.365864,5,0.376413,5,0.412066,5,0.427343,5,0.393158
6,0.627193,6,0.635135,6,0.609296,6,0.617584,6,0.632601,6,0.647388,6,0.622503
7,0.507325,7,0.504819,7,0.479870,7,0.499433,7,0.521034,7,0.545156,7,0.497833
8,0.524909,8,0.510303,8,0.505574,8,0.521006,8,0.540023,8,0.562465,8,0.516254
9,0.365641,9,0.350607,9,0.326077,9,0.357690,9,0.396630,9,0.410289,9,0.367661
10,0.508367,10,0.495039,10,0.471789,10,0.503432,10,0.535097,10,0.543333,10,0.512739
11,0.594095,11,0.600517,11,0.572986,11,0.585264,11,0.599601,11,0.616176,11,0.590972
12,0.752957,12,0.745371,12,0.744861,12,0.745795,12,0.756570,12,0.770382,12,0.755632
13,0.763925,13,0.750880,13,0.765484,13,0.750971,13,0.765059,13,0.781715,13,0.769200
