Vf,AG2018
0.250,0.000096
0.255,0.000180
0.260,0.000327
0.265,0.000577
0.270,0.000986
0.275,0.001633
0.280,0.002622
0.285,0.004084
0.290,0.006172
0.295,0.009054
0.300,0.012901
0.305,0.017863
0.310,0.024053
0.315,0.031519
0.320,0.040232
0.325,0.050071
0.330,0.060827
0.335,0.072219
0.340,0.083925
0.345,0.095612
0.350,0.106976
0.355,0.117778
0.360,0.127869
0.365,0.137196
0.370,0.145805
0.375,0.153823
0.380,0.161430
0.385,0.168840
0.390,0.176262
0.395,0.183885
0.400,0.191860
0.405,0.200289
0.410,0.209224
0.415,0.218676
0.420,0.228620
0.425,0.239011
0.430,0.249794
0.435,0.260917
0.440,0.272339
0.445,0.284040
0.450,0.296020
0.455,0.308301
0.460,0.320924
0.465,0.333937
0.470,0.347393
0.475,0.361338
0.480,0.375803
0.485,0.390794
0.490,0.406295
0.495,0.422255
0.500,0.438596
0.505,0.455216
0.510,0.471989
0.515,0.488870
0.520,0.506775
0.525,0.524758
0.530,0.542726
0.535,0.560617
0.540,0.578410
0.545,0.596123
0.550,0.613813
0.555,0.631569
0.560,0.649506
0.565,0.667746
0.570,0.686409
0.575,0.705587
0.580,0.725337
0.585,0.745657
0.590,0.766482
0.595,0.787674
0.600,0.809029
0.605,0.830283
0.610,0.851131
0.615,0.871248
0.620,0.890315
0.625,0.908044
0.630,0.924197
0.635,0.938607
0.640,0.951185
0.645,0.961920
0.650,0.970873
0.655,0.978168
0.660,0.983973
0.665,0.988482
0.670,0.991899
0.675,0.994427
0.680,0.996251
0.685,0.997535
0.690,0.998416
0.695,0.999006
0.700,0.999390
0.705,0.999635
0.710,0.999787
0.715,0.999878
0.720,0.999932
0.725,0.999963
0.730,0.999980
0.735,0.999990
0.740,0.999995
0.745,0.999997
0.750,0.999999
