Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2018,Vf,G2018,Vf,AG2018
0.250,0.000061,0.250,0.000051,0.250,0.000199,0.250,0.000074,0.250,0.000027,0.250,0.000019,0.250,0.000096
0.255,0.000117,0.255,0.000098,0.255,0.000364,0.255,0.000140,0.255,0.000052,0.255,0.000038,0.255,0.000180
0.260,0.000216,0.260,0.000182,0.260,0.000645,0.260,0.000258,0.260,0.000098,0.260,0.000072,0.260,0.000327
0.265,0.000386,0.265,0.000329,0.265,0.001106,0.265,0.000459,0.265,0.000181,0.265,0.000133,0.265,0.000577
0.270,0.000671,0.270,0.000574,0.270,0.001836,0.270,0.000792,0.270,0.000322,0.270,0.000240,0.270,0.000986
0.275,0.001129,0.275,0.000973,0.275,0.002951,0.275,0.001326,0.275,0.000557,0.275,0.000419,0.275,0.001633
0.280,0.001844,0.280,0.001601,0.280,0.004595,0.280,0.002152,0.280,0.000936,0.280,0.000711,0.280,0.002622
0.285,0.002922,0.285,0.002556,0.285,0.006934,0.285,0.003388,0.285,0.001528,0.285,0.001173,0.285,0.004084
0.290,0.004495,0.290,0.003964,0.290,0.010145,0.290,0.005178,0.290,0.002424,0.290,0.001881,0.290,0.006172
0.295,0.006717,0.295,0.005970,0.295,0.014403,0.295,0.007683,0.295,0.003738,0.295,0.002933,0.295,0.009054
0.300,0.009751,0.300,0.008738,0.300,0.019852,0.300,0.011073,0.300,0.005604,0.300,0.004449,0.300,0.012901
0.305,0.013761,0.305,0.012434,0.305,0.026587,0.305,0.015510,0.305,0.008173,0.305,0.006567,0.305,0.017863
0.310,0.018889,0.310,0.017215,0.310,0.034627,0.310,0.021128,0.310,0.011601,0.310,0.009436,0.310,0.024053
0.315,0.025237,0.315,0.023200,0.315,0.043899,0.315,0.028009,0.315,0.016032,0.315,0.013204,0.315,0.031519
0.320,0.032843,0.320,0.030461,0.320,0.054234,0.320,0.036165,0.320,0.021586,0.320,0.018006,0.320,0.040232
0.325,0.041668,0.325,0.038996,0.325,0.065374,0.325,0.045520,0.325,0.028333,0.325,0.023939,0.325,0.050071
0.330,0.051588,0.330,0.048723,0.330,0.076994,0.330,0.055913,0.330,0.036281,0.330,0.031055,0.330,0.060827
0.335,0.062398,0.335,0.059483,0.335,0.088739,0.335,0.067102,0.335,0.045366,0.335,0.039336,0.335,0.072219
0.340,0.073829,0.340,0.071044,0.340,0.100262,0.340,0.078789,0.340,0.055443,0.340,0.048695,0.340,0.083925
0.345,0.085572,0.345,0.083132,0.345,0.111264,0.345,0.090651,0.345,0.066300,0.345,0.058972,0.345,0.095612
0.350,0.097317,0.350,0.095456,0.350,0.121527,0.350,0.102374,0.350,0.077676,0.350,0.069948,0.350,0.106976
0.355,0.108785,0.355,0.107745,0.355,0.130936,0.355,0.113695,0.355,0.089283,0.355,0.081361,0.355,0.117778
0.360,0.119760,0.360,0.119776,0.360,0.139481,0.360,0.124426,0.360,0.100841,0.360,0.092940,0.360,0.127869
0.365,0.130109,0.365,0.131398,0.365,0.147250,0.365,0.134474,0.365,0.112110,0.365,0.104428,0.365,0.137196
0.370,0.139795,0.370,0.142541,0.370,0.154406,0.370,0.143844,0.370,0.122911,0.370,0.115614,0.370,0.145805
0.375,0.148867,0.375,0.153219,0.375,0.161163,0.375,0.152624,0.375,0.133147,0.375,0.126354,0.375,0.153823
0.380,0.157448,0.380,0.163511,0.380,0.167751,0.380,0.160973,0.380,0.142805,0.380,0.136581,0.380,0.161430
0.385,0.165710,0.385,0.173541,0.385,0.174395,0.385,0.169086,0.385,0.151951,0.385,0.146310,0.385,0.168840
0.390,0.173848,0.390,0.183456,0.390,0.181288,0.390,0.177171,0.390,0.160713,0.390,0.155628,0.390,0.176262
0.395,0.182053,0.395,0.193401,0.395,0.188580,0.395,0.185422,0.395,0.169262,0.395,0.164675,0.395,0.183885
0.400,0.190495,0.400,0.203501,0.400,0.196371,0.400,0.194002,0.400,0.177786,0.400,0.173625,0.400,0.191860
0.405,0.199304,0.405,0.213845,0.405,0.204712,0.405,0.203031,0.405,0.186467,0.405,0.182664,0.405,0.200289
0.410,0.208570,0.410,0.224490,0.410,0.213610,0.410,0.212583,0.410,0.195467,0.410,0.191969,0.410,0.209224
0.415,0.218339,0.415,0.235456,0.415,0.223036,0.415,0.222693,0.415,0.204915,0.415,0.201693,0.415,0.218676
0.420,0.228623,0.420,0.246739,0.420,0.232942,0.420,0.233361,0.420,0.214903,0.420,0.211957,0.420,0.228620
0.425,0.239408,0.425,0.258321,0.425,0.243266,0.425,0.244564,0.425,0.225484,0.425,0.222843,0.425,0.239011
0.430,0.250666,0.430,0.270177,0.430,0.253948,0.430,0.256271,0.430,0.236683,0.430,0.234400,0.430,0.249794
0.435,0.262366,0.435,0.282292,0.435,0.264939,0.435,0.268448,0.435,0.248498,0.435,0.246648,0.435,0.260917
0.440,0.274483,0.440,0.294660,0.440,0.276206,0.440,0.281072,0.440,0.260917,0.440,0.259584,0.440,0.272339
0.445,0.287007,0.445,0.307293,0.445,0.287738,0.445,0.294129,0.445,0.273918,0.445,0.273190,0.445,0.284040
0.450,0.299940,0.450,0.320218,0.450,0.299544,0.450,0.307621,0.450,0.287478,0.450,0.287441,0.450,0.296020
0.455,0.313300,0.455,0.333476,0.455,0.311655,0.455,0.321560,0.455,0.301581,0.455,0.302306,0.455,0.308301
0.460,0.327116,0.460,0.347114,0.460,0.324115,0.460,0.335966,0.460,0.316212,0.460,0.317755,0.460,0.320924
0.465,0.341421,0.465,0.361180,0.465,0.336975,0.465,0.350857,0.465,0.331359,0.465,0.333754,0.465,0.333937
0.470,0.356244,0.470,0.375713,0.470,0.350287,0.470,0.366242,0.470,0.347010,0.470,0.350270,0.470,0.347393
0.475,0.371603,0.475,0.390738,0.475,0.364095,0.475,0.382117,0.475,0.363146,0.475,0.367259,0.475,0.361338
0.480,0.387496,0.480,0.406258,0.480,0.378429,0.480,0.398456,0.480,0.379741,0.480,0.384669,0.480,0.375803
0.485,0.403898,0.485,0.422251,0.485,0.393294,0.485,0.415204,0.485,0.396752,0.485,0.402435,0.485,0.390794
0.490,0.420755,0.490,0.438670,0.490,0.408674,0.490,0.432285,0.490,0.414118,0.490,0.420478,0.490,0.406295
0.495,0.437984,0.495,0.455436,0.495,0.424521,0.495,0.449593,0.495,0.431762,0.495,0.438703,0.495,0.422255
0.500,0.455474,0.500,0.472447,0.500,0.440905,0.500,0.467003,0.500,0.449587,0.500,0.457002,0.500,0.438596
0.505,0.473095,0.505,0.489580,0.505,0.458251,0.505,0.484374,0.505,0.467486,0.505,0.475256,0.505,0.455216
0.510,0.490698,0.510,0.506695,0.510,0.476089,0.510,0.501684,0.510,0.485340,0.510,0.493343,0.510,0.471989
0.515,0.508129,0.515,0.523773,0.515,0.494260,0.515,0.519174,0.515,0.503026,0.515,0.511141,0.515,0.488870
0.520,0.525487,0.520,0.541293,0.520,0.512598,0.520,0.536508,0.520,0.520428,0.520,0.528536,0.520,0.506775
0.525,0.543267,0.525,0.558556,0.525,0.530945,0.525,0.553585,0.525,0.537438,0.525,0.545429,0.525,0.524758
0.530,0.560765,0.530,0.575420,0.530,0.549156,0.530,0.570338,0.530,0.553966,0.530,0.561739,0.530,0.542726
0.535,0.577913,0.535,0.591778,0.535,0.567119,0.535,0.586737,0.535,0.570609,0.535,0.577409,0.535,0.560617
0.540,0.594687,0.540,0.607567,0.540,0.584757,0.540,0.602793,0.540,0.588206,0.540,0.592408,0.540,0.578410
0.545,0.611111,0.545,0.622781,0.545,0.602041,0.545,0.618557,0.545,0.605794,0.545,0.606730,0.545,0.596123
