METRIC,G2018
Vf,0.549283
Sf,0.618476
EG,-0.019910
PR,-0.069193
GAMMA,0.019729
BS_50,0.042998
BV_50,0.011870
BS_V,0.045843
GS,0.020285
MM,0.005950
LO,0.065064
DECL,5.107033
R,2.403997
r,2.804312
Sb,0.618476
Ra,0.809238
Rb,0.309238
Va,0.555248
Vb,0.379689
L_Vf,0.525000
L_Sf,0.545429
U_Vf,0.570000
U_Sf,0.686478
