METRIC,AG2018
Vf,0.514567
Sf,0.487327
EG,0.041807
PR,0.027240
GAMMA,0.061854
BS_50,0.061404
BV_50,0.018108
BS_V,0.060228
GS,0.026504
MM,0.016734
LO,0.042409
DECL,9.411732
R,-0.870003
r,3.376173
Sb,0.487327
Ra,0.743663
Rb,0.243663
Va,0.575447
Vb,0.382143
L_Vf,0.490000
L_Sf,0.406295
U_Vf,0.535000
U_Sf,0.560617
