Vf,P2020
0.250,0.000051
0.255,0.000098
0.260,0.000182
0.265,0.000329
0.270,0.000574
0.275,0.000973
0.280,0.001601
0.285,0.002556
0.290,0.003964
0.295,0.005970
0.300,0.008738
0.305,0.012434
0.310,0.017215
0.315,0.023200
0.320,0.030461
0.325,0.038996
0.330,0.048723
0.335,0.059483
0.340,0.071044
0.345,0.083132
0.350,0.095456
0.355,0.107745
0.360,0.119776
0.365,0.131398
0.370,0.142541
0.375,0.153219
0.380,0.163511
0.385,0.173541
0.390,0.183456
0.395,0.193401
0.400,0.203501
0.405,0.213845
0.410,0.224490
0.415,0.235456
0.420,0.246739
0.425,0.258321
0.430,0.270177
0.435,0.282292
0.440,0.294660
0.445,0.307293
0.450,0.320218
0.455,0.333476
0.460,0.347114
0.465,0.361180
0.470,0.375713
0.475,0.390738
0.480,0.406258
0.485,0.422251
0.490,0.438670
0.495,0.455436
0.500,0.472447
0.505,0.489580
0.510,0.506695
0.515,0.523773
0.520,0.541293
0.525,0.558556
0.530,0.575420
0.535,0.591778
0.540,0.607567
0.545,0.622781
0.550,0.637466
0.555,0.651727
0.560,0.665715
0.565,0.679623
0.570,0.693665
0.575,0.708061
0.580,0.723014
0.585,0.738687
0.590,0.755185
0.595,0.772536
0.600,0.790681
0.605,0.809472
0.610,0.828677
0.615,0.847996
0.620,0.867083
0.625,0.885572
0.630,0.903112
0.635,0.919387
0.640,0.934150
0.645,0.947229
0.650,0.958543
0.655,0.968092
0.660,0.975955
0.665,0.982269
0.670,0.987211
0.675,0.990982
0.680,0.993786
0.685,0.995817
0.690,0.997250
0.695,0.998235
0.700,0.998895
0.705,0.999324
0.710,0.999597
0.715,0.999766
0.720,0.999867
0.725,0.999927
0.730,0.999960
0.735,0.999979
0.740,0.999989
0.745,0.999995
0.750,0.999997
