METRIC,P2020
Vf,0.514135
Sf,0.520728
EG,0.007542
PR,-0.006593
GAMMA,0.027552
BS_50,0.027553
BV_50,0.008044
BS_V,0.027045
GS,0.014678
MM,0.009316
LO,0.030147
DECL,4.375146
R,1.466441
r,3.415661
Sb,0.520728
Ra,0.760364
Rb,0.260364
Va,0.583328
Vb,0.386524
L_Vf,0.490000
L_Sf,0.438670
U_Vf,0.535000
U_Sf,0.591778
