Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.655,0.975025,0.968092,0.971389,0.975917,0.982222,0.977353,0.978168
0.660,0.981509,0.975955,0.978535,0.982193,0.987127,0.983391,0.983973
0.665,0.986601,0.982269,0.984232,0.987113,0.990874,0.988077,0.988482
0.670,0.990501,0.987211,0.988664,0.990876,0.993669,0.991626,0.991899
0.675,0.993415,0.990982,0.992028,0.993683,0.995703,0.994248,0.994427
0.680,0.995537,0.993786,0.994518,0.995724,0.997147,0.996137,0.996251
0.685,0.997044,0.995817,0.996316,0.997172,0.998149,0.997464,0.997535
0.690,0.998087,0.997250,0.997581,0.998172,0.998825,0.998373,0.998416
0.695,0.998791,0.998235,0.998448,0.998847,0.999272,0.998980,0.999006
0.700,0.999254,0.998895,0.999028,0.999289,0.999559,0.999376,0.999390
0.705,0.999551,0.999324,0.999406,0.999572,0.999739,0.999627,0.999635
0.710,0.999736,0.999597,0.999646,0.999749,0.999849,0.999782,0.999787
0.715,0.999848,0.999766,0.999794,0.999856,0.999915,0.999876,0.999878
0.720,0.999915,0.999867,0.999883,0.999919,0.999953,0.999931,0.999932
0.725,0.999954,0.999927,0.999935,0.999956,0.999975,0.999963,0.999963
0.730,0.999975,0.999960,0.999965,0.999977,0.999987,0.999980,0.999980
0.735,0.999987,0.999979,0.999982,0.999988,0.999993,0.999990,0.999990
0.740,0.999993,0.999989,0.999991,0.999994,0.999997,0.999995,0.999995
0.745,0.999997,0.999995,0.999995,0.999997,0.999998,0.999997,0.999997
0.750,0.999998,0.999997,0.999998,0.999999,0.999999,0.999999,0.999999
