Vf,S2018
0.250,0.000027
0.255,0.000052
0.260,0.000098
0.265,0.000181
0.270,0.000322
0.275,0.000557
0.280,0.000936
0.285,0.001528
0.290,0.002424
0.295,0.003738
0.300,0.005604
0.305,0.008173
0.310,0.011601
0.315,0.016032
0.320,0.021586
0.325,0.028333
0.330,0.036281
0.335,0.045366
0.340,0.055443
0.345,0.066300
0.350,0.077676
0.355,0.089283
0.360,0.100841
0.365,0.112110
0.370,0.122911
0.375,0.133147
0.380,0.142805
0.385,0.151951
0.390,0.160713
0.395,0.169262
0.400,0.177786
0.405,0.186467
0.410,0.195467
0.415,0.204915
0.420,0.214903
0.425,0.225484
0.430,0.236683
0.435,0.248498
0.440,0.260917
0.445,0.273918
0.450,0.287478
0.455,0.301581
0.460,0.316212
0.465,0.331359
0.470,0.347010
0.475,0.363146
0.480,0.379741
0.485,0.396752
0.490,0.414118
0.495,0.431762
0.500,0.449587
0.505,0.467486
0.510,0.485340
0.515,0.503026
0.520,0.520428
0.525,0.537438
0.530,0.553966
0.535,0.570609
0.540,0.588206
0.545,0.605794
0.550,0.623461
0.555,0.641314
0.560,0.659475
0.565,0.678066
0.570,0.697186
0.575,0.716899
0.580,0.737219
0.585,0.758094
0.590,0.779401
0.595,0.800949
0.600,0.822482
0.605,0.843697
0.610,0.864267
0.615,0.883863
0.620,0.902180
0.625,0.918962
0.630,0.934021
0.635,0.947244
0.640,0.958600
0.645,0.968133
0.650,0.975954
0.655,0.982222
0.660,0.987127
0.665,0.990874
0.670,0.993669
0.675,0.995703
0.680,0.997147
0.685,0.998149
0.690,0.998825
0.695,0.999272
0.700,0.999559
0.705,0.999739
0.710,0.999849
0.715,0.999915
0.720,0.999953
0.725,0.999975
0.730,0.999987
0.735,0.999993
0.740,0.999997
0.745,0.999998
0.750,0.999999
