METRIC,composite
Vf,0.518684
Sf,0.520773
EG,0.016595
PR,-0.002089
GAMMA,0.044090
BS_50,0.044526
BV_50,0.012668
BS_V,0.043634
GS,0.021196
MM,0.010317
LO,0.038159
DECL,6.094134
R,1.111804
r,3.471564
Sb,0.520773
Ra,0.760386
Rb,0.260386
Va,0.575438
Vb,0.386404
L_Vf,0.495000
L_Sf,0.437984
U_Vf,0.540000
U_Sf,0.594687
