METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.518684,0.514135,0.498823,0.508587,0.533186,0.549283,0.514567,0.519764,0.007469,0.014370,-0.001080,-0.002078,-0.144598
Sf,0.520773,0.520728,0.436910,0.496730,0.564211,0.618476,0.487327,0.520730,0.025925,0.049786,0.000043,0.000083,0.001659
EG,0.016595,0.007542,0.060736,0.020444,0.002161,-0.019910,0.041807,0.018797,0.011822,0.628930,-0.002202,-0.117146,-0.186263
PR,-0.002089,-0.006593,0.061913,0.011857,-0.031025,-0.069193,0.027240,-0.000967,0.018712,-19.350569,-0.001122,1.160290,-0.059962
GAMMA,0.044090,0.027552,0.059234,0.032998,0.046254,0.019729,0.061854,0.041270,0.007052,0.170875,0.002820,0.068331,0.399887
BS_50,0.044526,0.027553,0.059095,0.032997,0.050413,0.042998,0.061404,0.045743,0.005616,0.122773,-0.001217,-0.026605,-0.216702
BV_50,0.012668,0.008044,0.016565,0.009513,0.014144,0.011870,0.018108,0.013041,0.001613,0.123687,-0.000373,-0.028602,-0.231246
BS_V,0.043634,0.027045,0.058982,0.033016,0.049196,0.045843,0.060228,0.045718,0.005503,0.120368,-0.002084,-0.045584,-0.378703
GS,0.021196,0.014678,0.026431,0.019189,0.022141,0.020285,0.026504,0.021538,0.001854,0.086080,-0.000342,-0.015879,-0.184466
MM,0.010317,0.009316,0.018953,0.005155,0.012152,0.005950,0.016734,0.011377,0.002303,0.202426,-0.001060,-0.093170,-0.460269
LO,0.038159,0.030147,0.029340,0.028980,0.052676,0.065064,0.042409,0.041436,0.006095,0.147094,-0.003277,-0.079086,-0.537654
DECL,6.094134,4.375146,10.911106,6.031825,6.355977,5.107033,9.411732,7.032137,1.047733,0.148992,-0.938003,-0.133388,-0.895269
R,1.111804,1.466441,53.602634,-0.380824,1.934896,2.403997,-0.870003,9.692857,8.797933,0.907672,-8.581053,-0.885297,-0.975349
r,3.471564,3.415661,3.276719,3.461977,3.328676,2.804312,3.376173,3.277253,0.098215,0.029969,0.194311,0.059291,1.978425
Sb,0.520773,0.520728,0.436910,0.496730,0.564211,0.618476,0.487327,0.520730,0.025925,0.049786,0.000043,0.000083,0.001659
Ra,0.760386,0.760364,0.718455,0.748365,0.782106,0.809238,0.743663,0.760365,0.012962,0.017047,0.000021,0.000028,0.001620
Rb,0.260386,0.260364,0.218455,0.248365,0.282106,0.309238,0.243663,0.260365,0.012962,0.049784,0.000021,0.000081,0.001620
Va,0.575438,0.583328,0.589481,0.581715,0.560300,0.555248,0.575447,0.574253,0.005559,0.009680,0.001185,0.002064,0.213168
Vb,0.386404,0.386524,0.381179,0.389305,0.387024,0.379689,0.382143,0.384311,0.001561,0.004062,0.002093,0.005446,1.340807
L_Vf,0.495000,0.490000,0.475000,0.485000,0.510000,0.525000,0.490000,0.495833,0.007463,0.015051,-0.000833,-0.001680,-0.111617
L_Sf,0.437984,0.438670,0.364095,0.415204,0.485340,0.545429,0.406295,0.442505,0.026235,0.059287,-0.004521,-0.010217,-0.172327
U_Vf,0.540000,0.535000,0.520000,0.530000,0.555000,0.570000,0.535000,0.540833,0.007463,0.013799,-0.000833,-0.001540,-0.111617
U_Sf,0.594687,0.591778,0.512598,0.570338,0.641314,0.686478,0.560617,0.593854,0.025230,0.042485,0.000833,0.001403,0.033016
