CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018
9,0.365641,0.350607,0.326077,0.357690,0.396630,0.410289,0.367661
2,0.372153,0.356494,0.350681,0.355152,0.403550,0.418148,0.366374
5,0.389392,0.377049,0.365864,0.376413,0.412066,0.427343,0.393158
1,0.408612,0.399558,0.376859,0.402028,0.435415,0.444163,0.404809
4,0.465820,0.479907,0.449734,0.453798,0.472287,0.489720,0.449844
7,0.507325,0.504819,0.479870,0.499433,0.521034,0.545156,0.497833
10,0.508367,0.495039,0.471789,0.503432,0.535097,0.543333,0.512739
3,0.518690,0.543309,0.500791,0.511625,0.517105,0.537029,0.496834
8,0.524909,0.510303,0.505574,0.521006,0.540023,0.562465,0.516254
11,0.594095,0.600517,0.572986,0.585264,0.599601,0.616176,0.590972
6,0.627193,0.635135,0.609296,0.617584,0.632601,0.647388,0.622503
12,0.752957,0.745371,0.744861,0.745795,0.756570,0.770382,0.755632
13,0.763925,0.750880,0.765484,0.750971,0.765059,0.781715,0.769200
