METRIC,P2016
Vf,0.457323
Sf,0.277355
EG,0.137291
PR,0.179968
GAMMA,0.094519
BS_50,0.081062
BV_50,0.021119
BS_V,0.067280
GS,0.039742
MM,0.017260
LO,0.016032
DECL,25.108151
R,5.216969
r,3.002210
Sb,0.277355
Ra,0.638678
Rb,0.138678
Va,0.607295
Vb,0.376672
L_Vf,0.435000
L_Sf,0.212950
U_Vf,0.480000
U_Sf,0.347924
