CD,P2016
1,0.520551
2,0.273918
3,0.701222
4,0.303741
5,0.368360
6,0.371734
7,0.440063
8,0.364743
9,0.495040
10,0.468079
11,0.811480
12,0.345905
13,0.511002
14,0.428628
15,0.445571
