CD,composite
1,0.510221
2,0.295657
3,0.688017
4,0.317835
5,0.382441
6,0.399583
7,0.451666
8,0.371489
9,0.500755
10,0.464657
11,0.795694
12,0.358179
13,0.518951
14,0.445337
15,0.453935
