CD,AG2018
1,0.522745
2,0.312346
3,0.674943
4,0.322214
5,0.401544
6,0.423447
7,0.482589
8,0.388716
9,0.517126
10,0.470262
11,0.810638
12,0.365703
13,0.538641
14,0.470173
15,0.454671
