METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.463840,Vf,0.459233,Vf,0.457323,Vf,0.534074,Vf,0.390366,Vf,0.480750,Vf,0.478261
Sf,0.287440,Sf,0.301977,Sf,0.277355,Sf,0.577243,Sf,0.141386,Sf,0.343424,Sf,0.344568
EG,0.140240,EG,0.116489,EG,0.137291,EG,-0.009095,EG,0.139346,EG,0.118076,EG,0.111954
PR,0.176400,PR,0.157256,PR,0.179968,PR,-0.043169,PR,0.248980,PR,0.137326,PR,0.133693
GAMMA,0.090558,GAMMA,0.065423,GAMMA,0.094519,GAMMA,0.058420,GAMMA,0.305739,GAMMA,0.083575,GAMMA,0.074167
BS_50,0.078495,BS_50,0.060739,BS_50,0.081062,BS_50,0.070032,BS_50,0.098548,BS_50,0.080353,BS_50,0.071436
BV_50,0.018520,BV_50,0.016771,BV_50,0.021119,BV_50,0.015447,BV_50,0.018471,BV_50,0.018804,BV_50,0.017083
BS_V,0.067599,BS_V,0.054340,BS_V,0.067280,BS_V,0.071027,BS_V,-0.040999,BS_V,0.077349,BS_V,0.067858
GS,0.036522,GS,0.035053,GS,0.039742,GS,0.029681,GS,0.044823,GS,0.035555,GS,0.032191
MM,0.012174,MM,0.005927,MM,0.017260,MM,0.007054,MM,0.023930,MM,0.013084,MM,0.008088
LO,0.015328,LO,0.011348,LO,0.016032,LO,0.042990,LO,-0.002281,LO,0.017778,LO,0.012435
DECL,22.673953,DECL,20.989592,DECL,25.108151,DECL,4.182302,DECL,45.215954,DECL,16.360722,DECL,15.176212
R,5.878305,R,4.857434,R,5.216969,R,2.266919,R,3.271007,R,8.133833,R,7.149914
r,3.373949,r,3.252630,r,3.002210,r,3.981427,r,0.482280,r,3.792285,r,3.738223
Sb,0.287440,Sb,0.301977,Sb,0.277355,Sb,0.577243,Sb,0.141386,Sb,0.343424,Sb,0.344568
Ra,0.643720,Ra,0.650989,Ra,0.638678,Ra,0.788621,Ra,0.570693,Ra,0.671712,Ra,0.672284
Rb,0.143720,Rb,0.150989,Rb,0.138678,Rb,0.288621,Rb,0.070693,Rb,0.171712,Rb,0.172284
Va,0.595922,Va,0.606345,Va,0.607295,Va,0.554813,Va,0.651605,Va,0.584688,Va,0.587608
Vb,0.388750,Vb,0.382307,Vb,0.376672,Vb,0.402197,Vb,0.350676,Vb,0.397534,Vb,0.399958
L_Vf,0.440000,L_Vf,0.435000,L_Vf,0.435000,L_Vf,0.510000,L_Vf,0.370000,L_Vf,0.460000,L_Vf,0.455000
L_Sf,0.213973,L_Sf,0.228380,L_Sf,0.212950,L_Sf,0.475730,L_Sf,0.131712,L_Sf,0.267411,L_Sf,0.260858
U_Vf,0.485000,U_Vf,0.480000,U_Vf,0.480000,U_Vf,0.555000,U_Vf,0.415000,U_Vf,0.505000,U_Vf,0.500000
U_Sf,0.361853,U_Sf,0.368780,U_Sf,0.347924,U_Sf,0.663532,U_Sf,0.158111,U_Sf,0.440629,U_Sf,0.428564
