CD,P2020
1,0.542949
2,0.270123
3,0.722134
4,0.318743
5,0.363907
6,0.354398
7,0.453306
8,0.388252
9,0.485156
10,0.482097
11,0.791042
12,0.343327
13,0.514297
14,0.424261
15,0.465644
