CD,G2018
1,0.516357
2,0.316391
3,0.700888
4,0.334177
5,0.398743
6,0.425436
7,0.467666
8,0.381507
9,0.520150
10,0.467075
11,0.800094
12,0.379644
13,0.538388
14,0.467876
15,0.479387
