METRIC,AG2018
Vf,0.478261
Sf,0.344568
EG,0.111954
PR,0.133693
GAMMA,0.074167
BS_50,0.071436
BV_50,0.017083
BS_V,0.067858
GS,0.032191
MM,0.008088
LO,0.012435
DECL,15.176212
R,7.149914
r,3.738223
Sb,0.344568
Ra,0.672284
Rb,0.172284
Va,0.587608
Vb,0.399958
L_Vf,0.455000
L_Sf,0.260858
U_Vf,0.500000
U_Sf,0.428564
