METRIC,G2018
Vf,0.480750
Sf,0.343424
EG,0.118076
PR,0.137326
GAMMA,0.083575
BS_50,0.080353
BV_50,0.018804
BS_V,0.077349
GS,0.035555
MM,0.013084
LO,0.017778
DECL,16.360722
R,8.133833
r,3.792285
Sb,0.343424
Ra,0.671712
Rb,0.171712
Va,0.584688
Vb,0.397534
L_Vf,0.460000
L_Sf,0.267411
U_Vf,0.505000
U_Sf,0.440629
