METRIC,P2020
Vf,0.459233
Sf,0.301977
EG,0.116489
PR,0.157256
GAMMA,0.065423
BS_50,0.060739
BV_50,0.016771
BS_V,0.054340
GS,0.035053
MM,0.005927
LO,0.011348
DECL,20.989592
R,4.857434
r,3.252630
Sb,0.301977
Ra,0.650989
Rb,0.150989
Va,0.606345
Vb,0.382307
L_Vf,0.435000
L_Sf,0.228380
U_Vf,0.480000
U_Sf,0.368780
