METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018
Vf,0.463840,0.459233,0.457323,0.534074,0.390366,0.480750,0.478261
Sf,0.287440,0.301977,0.277355,0.577243,0.141386,0.343424,0.344568
EG,0.140240,0.116489,0.137291,-0.009095,0.139346,0.118076,0.111954
PR,0.176400,0.157256,0.179968,-0.043169,0.248980,0.137326,0.133693
GAMMA,0.090558,0.065423,0.094519,0.058420,0.305739,0.083575,0.074167
BS_50,0.078495,0.060739,0.081062,0.070032,0.098548,0.080353,0.071436
BV_50,0.018520,0.016771,0.021119,0.015447,0.018471,0.018804,0.017083
BS_V,0.067599,0.054340,0.067280,0.071027,-0.040999,0.077349,0.067858
GS,0.036522,0.035053,0.039742,0.029681,0.044823,0.035555,0.032191
MM,0.012174,0.005927,0.017260,0.007054,0.023930,0.013084,0.008088
LO,0.015328,0.011348,0.016032,0.042990,-0.002281,0.017778,0.012435
DECL,22.673953,20.989592,25.108151,4.182302,45.215954,16.360722,15.176212
R,5.878305,4.857434,5.216969,2.266919,3.271007,8.133833,7.149914
r,3.373949,3.252630,3.002210,3.981427,0.482280,3.792285,3.738223
Sb,0.287440,0.301977,0.277355,0.577243,0.141386,0.343424,0.344568
Ra,0.643720,0.650989,0.638678,0.788621,0.570693,0.671712,0.672284
Rb,0.143720,0.150989,0.138678,0.288621,0.070693,0.171712,0.172284
Va,0.595922,0.606345,0.607295,0.554813,0.651605,0.584688,0.587608
Vb,0.388750,0.382307,0.376672,0.402197,0.350676,0.397534,0.399958
L_Vf,0.440000,0.435000,0.435000,0.510000,0.370000,0.460000,0.455000
L_Sf,0.213973,0.228380,0.212950,0.475730,0.131712,0.267411,0.260858
U_Vf,0.485000,0.480000,0.480000,0.555000,0.415000,0.505000,0.500000
U_Sf,0.361853,0.368780,0.347924,0.663532,0.158111,0.440629,0.428564
