Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.250,0.002552,0.003014,0.005403,0.000198,0.014954,0.001219,0.001894
0.255,0.004005,0.004737,0.008041,0.000354,0.020093,0.002002,0.003021
0.260,0.006047,0.007169,0.011506,0.000611,0.025947,0.003167,0.004634
0.265,0.008794,0.010460,0.015859,0.001020,0.032287,0.004830,0.006847
0.270,0.012335,0.014734,0.021091,0.001646,0.038832,0.007109,0.009752
0.275,0.016711,0.020066,0.027122,0.002572,0.045297,0.010107,0.013403
0.280,0.021903,0.026461,0.033807,0.003890,0.051453,0.013900,0.017802
0.285,0.027830,0.033848,0.040957,0.005701,0.057162,0.018515,0.022885
0.290,0.034353,0.042078,0.048369,0.008102,0.062397,0.023927,0.028528
0.295,0.041301,0.050937,0.055858,0.011175,0.067231,0.030055,0.034560
0.300,0.048489,0.060167,0.063278,0.014977,0.071808,0.036770,0.040786
0.305,0.055752,0.069495,0.070534,0.019528,0.076298,0.043911,0.047022
0.310,0.062956,0.078651,0.077570,0.024804,0.080855,0.051309,0.053119
0.315,0.070011,0.087396,0.084361,0.030738,0.085580,0.058803,0.058986
0.320,0.076867,0.095534,0.090887,0.037225,0.090507,0.066259,0.064593
0.325,0.083496,0.102921,0.097116,0.044133,0.095601,0.073571,0.069971
0.330,0.089880,0.109470,0.103001,0.051320,0.100767,0.080662,0.075187
0.335,0.095995,0.115149,0.108482,0.058646,0.105874,0.087477,0.080321
0.340,0.101804,0.119979,0.113496,0.065983,0.110779,0.093971,0.085444
0.345,0.107260,0.124031,0.117994,0.073227,0.115356,0.100103,0.090602
0.350,0.112312,0.127416,0.121956,0.080294,0.119511,0.105834,0.095802
0.355,0.116919,0.130277,0.125400,0.087125,0.123196,0.111129,0.101021
0.360,0.121068,0.132781,0.128389,0.093677,0.126416,0.115970,0.106210
0.365,0.124776,0.135106,0.131021,0.099920,0.129223,0.120356,0.111314
0.370,0.128102,0.137435,0.133432,0.105839,0.131712,0.124321,0.116290
0.375,0.131144,0.139943,0.135777,0.111435,0.134006,0.127931,0.121118
0.380,0.134032,0.142801,0.138226,0.116728,0.136249,0.131288,0.125815
0.385,0.136924,0.146160,0.140951,0.121762,0.138591,0.134527,0.130439
0.390,0.139992,0.150161,0.144122,0.126611,0.141183,0.137804,0.135091
0.395,0.143416,0.154925,0.147901,0.131380,0.143594,0.141294,0.139906
0.400,0.147373,0.160552,0.152433,0.136205,0.146396,0.145177,0.145044
0.405,0.152031,0.167127,0.157849,0.141247,0.149701,0.149630,0.150677
0.410,0.157543,0.174710,0.164255,0.146688,0.153581,0.154821,0.156979
0.415,0.164040,0.183341,0.171733,0.152718,0.158111,0.160901,0.164113
0.420,0.171629,0.193037,0.180336,0.159529,0.163370,0.167999,0.172217
0.425,0.180387,0.203796,0.190086,0.167302,0.169435,0.176218,0.181404
0.430,0.190361,0.215592,0.200972,0.176199,0.176388,0.185632,0.191748
0.435,0.201563,0.228380,0.212950,0.186356,0.184308,0.196283,0.203286
0.440,0.213973,0.242100,0.225949,0.197875,0.193275,0.208182,0.216018
0.445,0.227541,0.256673,0.239871,0.210822,0.203365,0.221308,0.229908
0.450,0.242188,0.272008,0.254600,0.225222,0.214653,0.235610,0.244886
0.455,0.257810,0.288003,0.270006,0.241061,0.227205,0.251010,0.260858
0.460,0.274288,0.304266,0.285017,0.258287,0.241080,0.267411,0.277708
0.465,0.291157,0.319564,0.299834,0.276812,0.256323,0.284695,0.295306
0.470,0.307691,0.335464,0.315284,0.296513,0.272967,0.302733,0.313515
0.475,0.325023,0.351895,0.331328,0.317242,0.291024,0.321388,0.332196
0.480,0.343098,0.368780,0.347924,0.338830,0.310488,0.340521,0.350887
0.485,0.361853,0.386036,0.365028,0.361092,0.331329,0.359483,0.369486
0.490,0.381220,0.403583,0.382595,0.383833,0.353492,0.378985,0.388676
0.495,0.401129,0.421345,0.400579,0.406856,0.376900,0.399069,0.408393
0.500,0.421505,0.439261,0.418938,0.429968,0.401452,0.419647,0.428564
0.505,0.442280,0.457280,0.437636,0.452983,0.427028,0.440629,0.449122
0.510,0.463389,0.475375,0.456646,0.475730,0.453494,0.461932,0.469996
0.515,0.484778,0.493537,0.475952,0.498054,0.480702,0.483476,0.491121
0.520,0.506401,0.511783,0.495549,0.519821,0.508501,0.505194,0.512437
0.525,0.528225,0.530148,0.515443,0.540920,0.536738,0.527031,0.533890
0.530,0.550226,0.548688,0.535651,0.561266,0.565260,0.548948,0.555436
0.535,0.572384,0.567469,0.556191,0.581173,0.593921,0.570918,0.577033
