Vf,P2016
0.250,0.005403
0.255,0.008041
0.260,0.011506
0.265,0.015859
0.270,0.021091
0.275,0.027122
0.280,0.033807
0.285,0.040957
0.290,0.048369
0.295,0.055858
0.300,0.063278
0.305,0.070534
0.310,0.077570
0.315,0.084361
0.320,0.090887
0.325,0.097116
0.330,0.103001
0.335,0.108482
0.340,0.113496
0.345,0.117994
0.350,0.121956
0.355,0.125400
0.360,0.128389
0.365,0.131021
0.370,0.133432
0.375,0.135777
0.380,0.138226
0.385,0.140951
0.390,0.144122
0.395,0.147901
0.400,0.152433
0.405,0.157849
0.410,0.164255
0.415,0.171733
0.420,0.180336
0.425,0.190086
0.430,0.200972
0.435,0.212950
0.440,0.225949
0.445,0.239871
0.450,0.254600
0.455,0.270006
0.460,0.285017
0.465,0.299834
0.470,0.315284
0.475,0.331328
0.480,0.347924
0.485,0.365028
0.490,0.382595
0.495,0.400579
0.500,0.418938
0.505,0.437636
0.510,0.456646
0.515,0.475952
0.520,0.495549
0.525,0.515443
0.530,0.535651
0.535,0.556191
0.540,0.577082
0.545,0.598335
0.550,0.619948
0.555,0.641897
0.560,0.664134
0.565,0.686589
0.570,0.709163
0.575,0.731737
0.580,0.754173
0.585,0.776321
0.590,0.798022
0.595,0.819117
0.600,0.839447
0.605,0.858860
0.610,0.877213
0.615,0.894376
0.620,0.910239
0.625,0.924710
0.630,0.937728
0.635,0.949260
0.640,0.959309
0.645,0.967912
0.650,0.975141
0.655,0.981094
0.660,0.985897
0.665,0.989689
0.670,0.992615
0.675,0.994823
0.680,0.996450
0.685,0.997619
0.690,0.998439
0.695,0.999001
0.700,0.999375
0.705,0.999619
0.710,0.999773
0.715,0.999868
0.720,0.999925
0.725,0.999959
0.730,0.999978
0.735,0.999988
0.740,0.999994
0.745,0.999997
0.750,0.999999
