METRIC,S2018
Vf,0.534074
Sf,0.577243
EG,-0.009095
PR,-0.043169
GAMMA,0.058420
BS_50,0.070032
BV_50,0.015447
BS_V,0.071027
GS,0.029681
MM,0.007054
LO,0.042990
DECL,4.182302
R,2.266919
r,3.981427
Sb,0.577243
Ra,0.788621
Rb,0.288621
Va,0.554813
Vb,0.402197
L_Vf,0.510000
L_Sf,0.475730
U_Vf,0.555000
U_Sf,0.663532
