METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.463840,0.459233,0.457323,0.534074,0.390366,0.480750,0.478261,0.466668,0.019010,0.040736,-0.002828,-0.006060,-0.148764
Sf,0.287440,0.301977,0.277355,0.577243,0.141386,0.343424,0.344568,0.330992,0.057922,0.174995,-0.043552,-0.131580,-0.751908
EG,0.140240,0.116489,0.137291,-0.009095,0.139346,0.118076,0.111954,0.102344,0.022766,0.222446,0.037896,0.370281,1.664588
PR,0.176400,0.157256,0.179968,-0.043169,0.248980,0.137326,0.133693,0.135676,0.039689,0.292528,0.040724,0.300156,1.026078
GAMMA,0.090558,0.065423,0.094519,0.058420,0.305739,0.083575,0.074167,0.113640,0.038774,0.341200,-0.023082,-0.203115,-0.595296
BS_50,0.078495,0.060739,0.081062,0.070032,0.098548,0.080353,0.071436,0.077028,0.005279,0.068534,0.001467,0.019045,0.277894
BV_50,0.018520,0.016771,0.021119,0.015447,0.018471,0.018804,0.017083,0.017949,0.000805,0.044849,0.000571,0.031812,0.709317
BS_V,0.067599,0.054340,0.067280,0.071027,-0.040999,0.077349,0.067858,0.049476,0.018354,0.370968,0.018123,0.366299,0.987414
GS,0.036522,0.035053,0.039742,0.029681,0.044823,0.035555,0.032191,0.036174,0.002215,0.061232,0.000348,0.009620,0.157111
MM,0.012174,0.005927,0.017260,0.007054,0.023930,0.013084,0.008088,0.012557,0.002863,0.228000,-0.000383,-0.030501,-0.133776
LO,0.015328,0.011348,0.016032,0.042990,-0.002281,0.017778,0.012435,0.016384,0.006053,0.369446,-0.001056,-0.064453,-0.174459
DECL,22.673953,20.989592,25.108151,4.182302,45.215954,16.360722,15.176212,21.172155,5.601744,0.264581,1.501798,0.070933,0.268095
R,5.878305,4.857434,5.216969,2.266919,3.271007,8.133833,7.149914,5.149346,0.909867,0.176696,0.728959,0.141563,0.801171
r,3.373949,3.252630,3.002210,3.981427,0.482280,3.792285,3.738223,3.041509,0.533176,0.175300,0.332440,0.109301,0.623509
Sb,0.287440,0.301977,0.277355,0.577243,0.141386,0.343424,0.344568,0.330992,0.057922,0.174995,-0.043552,-0.131580,-0.751908
Ra,0.643720,0.650989,0.638678,0.788621,0.570693,0.671712,0.672284,0.665496,0.028961,0.043518,-0.021776,-0.032721,-0.751908
Rb,0.143720,0.150989,0.138678,0.288621,0.070693,0.171712,0.172284,0.165496,0.028961,0.174995,-0.021776,-0.131580,-0.751908
Va,0.595922,0.606345,0.607295,0.554813,0.651605,0.584688,0.587608,0.598726,0.013136,0.021940,-0.002804,-0.004683,-0.213459
Vb,0.388750,0.382307,0.376672,0.402197,0.350676,0.397534,0.399958,0.384891,0.008023,0.020845,0.003859,0.010026,0.480992
L_Vf,0.440000,0.435000,0.435000,0.510000,0.370000,0.460000,0.455000,0.444167,0.018593,0.041860,-0.004167,-0.009382,-0.224117
L_Sf,0.213973,0.228380,0.212950,0.475730,0.131712,0.267411,0.260858,0.262840,0.046982,0.178748,-0.048867,-0.185919,-1.040122
U_Vf,0.485000,0.480000,0.480000,0.555000,0.415000,0.505000,0.500000,0.489167,0.018593,0.038010,-0.004167,-0.008519,-0.224117
U_Sf,0.361853,0.368780,0.347924,0.663532,0.158111,0.440629,0.428564,0.401257,0.066859,0.166624,-0.039404,-0.098201,-0.589360
