CD,S2018
1,0.556911
2,0.373109
3,0.735743
4,0.397133
5,0.475192
6,0.488390
7,0.523194
8,0.428705
9,0.584724
10,0.533921
11,0.832590
12,0.437239
13,0.578068
14,0.527020
15,0.527315
