METRIC,composite
Vf,0.463840
Sf,0.287440
EG,0.140240
PR,0.176400
GAMMA,0.090558
BS_50,0.078495
BV_50,0.018520
BS_V,0.067599
GS,0.036522
MM,0.012174
LO,0.015328
DECL,22.673953
R,5.878305
r,3.373949
Sb,0.287440
Ra,0.643720
Rb,0.143720
Va,0.595922
Vb,0.388750
L_Vf,0.440000
L_Sf,0.213973
U_Vf,0.485000
U_Sf,0.361853
