CD,composite,CD,P2020,CD,P2016,CD,S2018,CD,S2016,CD,G2018,CD,AG2020
1,0.528649,1,0.523446,1,0.503666,1,0.570403,1,0.470212,1,0.592748,1,0.526467
2,0.754243,2,0.715271,2,0.751936,2,0.799880,2,0.741413,2,0.805708,2,0.737778
3,0.915871,3,0.906956,3,0.918078,3,0.935739,3,0.896344,3,0.938277,3,0.905579
4,0.595480,4,0.595697,4,0.572437,4,0.633251,4,0.527049,4,0.652130,4,0.603036
5,0.657708,5,0.662790,5,0.649632,5,0.689315,5,0.600562,5,0.703729,5,0.650510
6,0.563816,6,0.574467,6,0.546290,6,0.599720,6,0.497195,6,0.619293,6,0.555636
7,0.515084,7,0.503144,7,0.485173,7,0.551395,7,0.477149,7,0.580726,7,0.515675
8,0.511695,8,0.485310,8,0.458339,8,0.531161,8,0.503523,8,0.573295,8,0.535709
9,0.340399,9,0.314678,9,0.294056,9,0.371692,9,0.332485,9,0.410805,9,0.347036
10,0.480547,10,0.479033,10,0.448151,10,0.503222,10,0.433776,10,0.548244,10,0.483045
11,0.395882,11,0.392098,11,0.366187,11,0.432107,11,0.362146,11,0.459199,11,0.383220
12,0.629141,12,0.600868,12,0.590476,12,0.673141,12,0.594751,12,0.689339,12,0.645092
13,0.297184,13,0.271164,13,0.260790,13,0.347353,13,0.289887,13,0.358023,13,0.288308
14,0.390502,14,0.340749,14,0.334308,14,0.456014,14,0.376925,14,0.467008,14,0.404234
15,0.344044,15,0.312373,15,0.310441,15,0.401527,15,0.335225,15,0.405945,15,0.335396
16,0.424979,16,0.395445,16,0.384534,16,0.478793,16,0.393044,16,0.493836,16,0.431073
17,0.551368,17,0.529528,17,0.505399,17,0.600463,17,0.497942,17,0.617892,17,0.572251
