METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2020
Vf,0.525098,0.505998,0.496206,0.566709,0.492548,0.586676,0.523254
Sf,0.541915,0.508323,0.442569,0.626407,0.399319,0.684550,0.557527
EG,0.008281,0.003673,0.049843,0.007011,0.085777,-0.011198,-0.011019
PR,-0.016817,-0.002325,0.053637,-0.059698,0.093229,-0.097874,-0.034273
GAMMA,0.026128,0.008312,0.046848,0.047902,0.075313,0.003021,0.000496
BS_50,0.031146,0.008661,0.046853,0.047817,0.075018,0.027690,0.006542
BV_50,0.010150,0.003050,0.016428,0.016124,0.021294,0.008047,0.002191
BS_V,0.035392,0.008925,0.046782,0.064867,0.074730,0.066727,0.011857
GS,0.026124,0.018279,0.030557,0.032265,0.037511,0.030465,0.017678
MM,0.010014,0.002854,0.011033,0.015314,0.015399,0.005950,-0.003213
LO,0.027335,0.008089,0.014923,0.070530,0.024520,0.083852,0.022602
DECL,1.526484,0.753620,8.062253,2.999531,13.477948,0.241571,-0.803363
R,1.670038,1.387578,15.137329,1.894904,13.510558,2.129196,2.473870
r,2.711078,2.773292,2.789315,2.612983,3.404166,2.164051,2.495188
Sb,0.541915,0.508323,0.442569,0.626407,0.399319,0.684550,0.557527
Ra,0.770957,0.754161,0.721284,0.813204,0.699660,0.842275,0.778764
Rb,0.270957,0.254161,0.221284,0.313204,0.199660,0.342275,0.278764
Va,0.601587,0.617034,0.619008,0.575411,0.598396,0.570183,0.605232
Vb,0.371079,0.374877,0.366069,0.354059,0.377085,0.345964,0.372166
L_Vf,0.505000,0.485000,0.475000,0.545000,0.470000,0.565000,0.500000
L_Sf,0.484423,0.446975,0.382813,0.576458,0.325846,0.646721,0.493458
U_Vf,0.550000,0.530000,0.520000,0.590000,0.515000,0.610000,0.545000
U_Sf,0.605989,0.572017,0.510242,0.694708,0.477908,0.746172,0.609367
