Vf,composite,Vf,P2020,Vf,P2016,Vf,S2018,Vf,S2016,Vf,G2018,Vf,AG2020
0.250,0.003244,0.250,0.005728,0.250,0.010341,0.250,0.000867,0.250,0.007708,0.250,0.000364,0.250,0.002722
0.255,0.004947,0.255,0.008342,0.255,0.014275,0.255,0.001438,0.255,0.010956,0.255,0.000629,0.255,0.004201
0.260,0.007250,0.260,0.011667,0.260,0.018936,0.260,0.002296,0.260,0.014962,0.260,0.001050,0.260,0.006233
0.265,0.010226,0.265,0.015695,0.265,0.024189,0.265,0.003535,0.265,0.019668,0.265,0.001692,0.265,0.008900
0.270,0.013897,0.270,0.020342,0.270,0.029837,0.270,0.005251,0.270,0.024945,0.270,0.002633,0.270,0.012244
0.275,0.018228,0.275,0.025449,0.275,0.035648,0.275,0.007533,0.275,0.030601,0.275,0.003960,0.275,0.016252
0.280,0.023118,0.280,0.030809,0.280,0.041400,0.280,0.010448,0.280,0.036423,0.280,0.005762,0.280,0.020847
0.285,0.028412,0.285,0.036187,0.285,0.046922,0.285,0.014026,0.285,0.042207,0.285,0.008116,0.285,0.025895
0.290,0.033922,0.290,0.041371,0.290,0.052122,0.290,0.018252,0.290,0.047796,0.290,0.011079,0.290,0.031218
0.295,0.039461,0.295,0.046199,0.295,0.057001,0.295,0.023066,0.295,0.053108,0.295,0.014673,0.295,0.036623
0.300,0.044871,0.300,0.050592,0.300,0.061637,0.300,0.028360,0.300,0.058139,0.300,0.018882,0.300,0.041934
0.305,0.050053,0.305,0.054563,0.305,0.066156,0.305,0.034003,0.305,0.062946,0.305,0.023646,0.305,0.047024
0.310,0.054976,0.310,0.058207,0.310,0.070703,0.310,0.039853,0.310,0.067627,0.310,0.028872,0.310,0.051830
0.315,0.059677,0.315,0.061684,0.315,0.075403,0.315,0.045782,0.315,0.072286,0.315,0.034442,0.315,0.056366
0.320,0.064247,0.320,0.065188,0.320,0.080345,0.320,0.051696,0.320,0.077004,0.320,0.040232,0.320,0.060712
0.325,0.068807,0.325,0.068922,0.325,0.085564,0.325,0.057542,0.325,0.081823,0.325,0.046131,0.325,0.064994
0.330,0.073479,0.330,0.073069,0.330,0.091056,0.330,0.063309,0.330,0.086740,0.330,0.052059,0.330,0.069366
0.335,0.078372,0.335,0.077780,0.335,0.096782,0.335,0.069024,0.335,0.091719,0.335,0.057968,0.335,0.073980
0.340,0.083561,0.340,0.083159,0.340,0.102690,0.340,0.074737,0.340,0.096701,0.340,0.063854,0.340,0.078968
0.345,0.089091,0.345,0.089265,0.345,0.108736,0.345,0.080506,0.345,0.101630,0.345,0.069744,0.345,0.084435
0.350,0.094977,0.350,0.096113,0.350,0.114891,0.350,0.086387,0.350,0.106471,0.350,0.075689,0.350,0.090450
0.355,0.101215,0.355,0.103685,0.355,0.121159,0.355,0.092428,0.355,0.111220,0.355,0.081753,0.355,0.097053
0.360,0.107797,0.360,0.111936,0.360,0.127568,0.360,0.098670,0.360,0.115915,0.360,0.088001,0.360,0.104260
0.365,0.114720,0.365,0.120811,0.365,0.134173,0.365,0.105146,0.365,0.120631,0.365,0.094497,0.365,0.112077
0.370,0.121997,0.370,0.130250,0.370,0.141043,0.370,0.111895,0.370,0.125474,0.370,0.101297,0.370,0.120503
0.375,0.129655,0.375,0.140202,0.375,0.148250,0.375,0.118960,0.375,0.130565,0.375,0.108452,0.375,0.129539
0.380,0.137738,0.380,0.150626,0.380,0.155865,0.380,0.126400,0.380,0.136027,0.380,0.116013,0.380,0.139187
0.385,0.146296,0.385,0.161496,0.385,0.163947,0.385,0.134279,0.385,0.141969,0.385,0.124036,0.385,0.149455
0.390,0.155383,0.390,0.172803,0.390,0.172537,0.390,0.142673,0.390,0.148478,0.390,0.132579,0.390,0.160344
0.395,0.165044,0.395,0.184545,0.395,0.181662,0.395,0.151652,0.395,0.155608,0.395,0.141704,0.395,0.171853
0.400,0.175309,0.400,0.196729,0.400,0.191333,0.400,0.161280,0.400,0.163380,0.400,0.151473,0.400,0.183970
0.405,0.186192,0.405,0.209358,0.405,0.201546,0.405,0.171605,0.405,0.171783,0.405,0.161946,0.405,0.196670
0.410,0.197688,0.410,0.222433,0.410,0.212287,0.410,0.182651,0.410,0.180786,0.410,0.173170,0.410,0.209920
0.415,0.209778,0.415,0.235941,0.415,0.223529,0.415,0.194420,0.415,0.190339,0.415,0.185179,0.415,0.223676
0.420,0.222426,0.420,0.249859,0.420,0.235242,0.420,0.206888,0.420,0.200390,0.420,0.197987,0.420,0.237888
0.425,0.235594,0.425,0.264149,0.425,0.247386,0.425,0.220014,0.425,0.210893,0.425,0.211589,0.425,0.252509
0.430,0.249240,0.430,0.278765,0.430,0.259917,0.430,0.233740,0.430,0.221815,0.430,0.225963,0.430,0.267490
0.435,0.263321,0.435,0.293652,0.435,0.272788,0.435,0.247998,0.435,0.233142,0.435,0.241068,0.435,0.282792
0.440,0.277802,0.440,0.308752,0.440,0.285952,0.440,0.262717,0.440,0.244882,0.440,0.256852,0.440,0.298382
0.445,0.292648,0.445,0.324010,0.445,0.299362,0.445,0.277826,0.445,0.257058,0.445,0.273255,0.445,0.314229
0.450,0.307831,0.450,0.339374,0.450,0.312972,0.450,0.293254,0.450,0.269710,0.450,0.290209,0.450,0.330308
0.455,0.323319,0.455,0.354802,0.455,0.326744,0.455,0.308939,0.455,0.282881,0.455,0.307642,0.455,0.346590
0.460,0.339082,0.460,0.370256,0.460,0.340642,0.460,0.324817,0.460,0.296612,0.460,0.325479,0.460,0.363041
0.465,0.355083,0.465,0.385709,0.465,0.354637,0.465,0.340832,0.465,0.310932,0.465,0.343642,0.465,0.379619
0.470,0.371278,0.470,0.401134,0.470,0.368702,0.470,0.356927,0.470,0.325846,0.470,0.362047,0.470,0.396271
0.475,0.387612,0.475,0.416506,0.475,0.382813,0.475,0.373049,0.475,0.341338,0.475,0.380607,0.475,0.412931
