Vf,G2018
0.250,0.000364
0.255,0.000629
0.260,0.001050
0.265,0.001692
0.270,0.002633
0.275,0.003960
0.280,0.005762
0.285,0.008116
0.290,0.011079
0.295,0.014673
0.300,0.018882
0.305,0.023646
0.310,0.028872
0.315,0.034442
0.320,0.040232
0.325,0.046131
0.330,0.052059
0.335,0.057968
0.340,0.063854
0.345,0.069744
0.350,0.075689
0.355,0.081753
0.360,0.088001
0.365,0.094497
0.370,0.101297
0.375,0.108452
0.380,0.116013
0.385,0.124036
0.390,0.132579
0.395,0.141704
0.400,0.151473
0.405,0.161946
0.410,0.173170
0.415,0.185179
0.420,0.197987
0.425,0.211589
0.430,0.225963
0.435,0.241068
0.440,0.256852
0.445,0.273255
0.450,0.290209
0.455,0.307642
0.460,0.325479
0.465,0.343642
0.470,0.362047
0.475,0.380607
0.480,0.399228
0.485,0.417812
0.490,0.436257
0.495,0.454457
0.500,0.472310
0.505,0.489717
0.510,0.506589
0.515,0.522847
0.520,0.538428
0.525,0.553286
0.530,0.567396
0.535,0.580749
0.540,0.593357
0.545,0.605249
0.550,0.616471
0.555,0.627078
0.560,0.637137
0.565,0.646721
0.570,0.655904
0.575,0.664759
0.580,0.673359
0.585,0.681765
0.590,0.692586
0.595,0.705128
0.600,0.718242
0.605,0.731930
0.610,0.746172
0.615,0.760927
0.620,0.776137
0.625,0.791730
0.630,0.807617
0.635,0.823695
0.640,0.839843
0.645,0.855926
0.650,0.871789
0.655,0.887265
0.660,0.902174
0.665,0.916336
0.670,0.929576
0.675,0.941739
0.680,0.952695
0.685,0.962358
0.690,0.970687
0.695,0.977691
0.700,0.983428
0.705,0.988000
0.710,0.991539
0.715,0.994198
0.720,0.996133
0.725,0.997499
0.730,0.998430
0.735,0.999045
0.740,0.999437
0.745,0.999679
0.750,0.999823
