CD,P2016
1,0.503666
2,0.751936
3,0.918078
4,0.572437
5,0.649632
6,0.546290
7,0.485173
8,0.458339
9,0.294056
10,0.448151
11,0.366187
12,0.590476
13,0.260790
14,0.334308
15,0.310441
16,0.384534
17,0.505399
