CD,S2016
1,0.470212
2,0.741413
3,0.896344
4,0.527049
5,0.600562
6,0.497195
7,0.477149
8,0.503523
9,0.332485
10,0.433776
11,0.362146
12,0.594751
13,0.289887
14,0.376925
15,0.335225
16,0.393044
17,0.497942
