METRIC,P2016
Vf,0.496206
Sf,0.442569
EG,0.049843
PR,0.053637
GAMMA,0.046848
BS_50,0.046853
BV_50,0.016428
BS_V,0.046782
GS,0.030557
MM,0.011033
LO,0.014923
DECL,8.062253
R,15.137329
r,2.789315
Sb,0.442569
Ra,0.721284
Rb,0.221284
Va,0.619008
Vb,0.366069
L_Vf,0.475000
L_Sf,0.382813
U_Vf,0.520000
U_Sf,0.510242
