CD,P2020
1,0.523446
2,0.715271
3,0.906956
4,0.595697
5,0.662790
6,0.574467
7,0.503144
8,0.485310
9,0.314678
10,0.479033
11,0.392098
12,0.600868
13,0.271164
14,0.340749
15,0.312373
16,0.395445
17,0.529528
