CD,AG2020
1,0.526467
2,0.737778
3,0.905579
4,0.603036
5,0.650510
6,0.555636
7,0.515675
8,0.535709
9,0.347036
10,0.483045
11,0.383220
12,0.645092
13,0.288308
14,0.404234
15,0.335396
16,0.431073
17,0.572251
