METRIC,S2018
Vf,0.566709
Sf,0.626407
EG,0.007011
PR,-0.059698
GAMMA,0.047902
BS_50,0.047817
BV_50,0.016124
BS_V,0.064867
GS,0.032265
MM,0.015314
LO,0.070530
DECL,2.999531
R,1.894904
r,2.612983
Sb,0.626407
Ra,0.813204
Rb,0.313204
Va,0.575411
Vb,0.354059
L_Vf,0.545000
L_Sf,0.576458
U_Vf,0.590000
U_Sf,0.694708
