METRIC,composite
Vf,0.525098
Sf,0.541915
EG,0.008281
PR,-0.016817
GAMMA,0.026128
BS_50,0.031146
BV_50,0.010150
BS_V,0.035392
GS,0.026124
MM,0.010014
LO,0.027335
DECL,1.526484
R,1.670038
r,2.711078
Sb,0.541915
Ra,0.770957
Rb,0.270957
Va,0.601587
Vb,0.371079
L_Vf,0.505000
L_Sf,0.484423
U_Vf,0.550000
U_Sf,0.605989
