CD,S2018
1,0.570403
2,0.799880
3,0.935739
4,0.633251
5,0.689315
6,0.599720
7,0.551395
8,0.531161
9,0.371692
10,0.503222
11,0.432107
12,0.673141
13,0.347353
14,0.456014
15,0.401527
16,0.478793
17,0.600463
