CD,composite,P2020,P2016,S2018,S2016,G2018,AG2020
13,0.297184,0.271164,0.260790,0.347353,0.289887,0.358023,0.288308
9,0.340399,0.314678,0.294056,0.371692,0.332485,0.410805,0.347036
15,0.344044,0.312373,0.310441,0.401527,0.335225,0.405945,0.335396
14,0.390502,0.340749,0.334308,0.456014,0.376925,0.467008,0.404234
11,0.395882,0.392098,0.366187,0.432107,0.362146,0.459199,0.383220
16,0.424979,0.395445,0.384534,0.478793,0.393044,0.493836,0.431073
10,0.480547,0.479033,0.448151,0.503222,0.433776,0.548244,0.483045
8,0.511695,0.485310,0.458339,0.531161,0.503523,0.573295,0.535709
7,0.515084,0.503144,0.485173,0.551395,0.477149,0.580726,0.515675
1,0.528649,0.523446,0.503666,0.570403,0.470212,0.592748,0.526467
17,0.551368,0.529528,0.505399,0.600463,0.497942,0.617892,0.572251
6,0.563816,0.574467,0.546290,0.599720,0.497195,0.619293,0.555636
4,0.595480,0.595697,0.572437,0.633251,0.527049,0.652130,0.603036
12,0.629141,0.600868,0.590476,0.673141,0.594751,0.689339,0.645092
5,0.657708,0.662790,0.649632,0.689315,0.600562,0.703729,0.650510
2,0.754243,0.715271,0.751936,0.799880,0.741413,0.805708,0.737778
3,0.915871,0.906956,0.918078,0.935739,0.896344,0.938277,0.905579
