METRIC,G2018
Vf,0.586676
Sf,0.684550
EG,-0.011198
PR,-0.097874
GAMMA,0.003021
BS_50,0.027690
BV_50,0.008047
BS_V,0.066727
GS,0.030465
MM,0.005950
LO,0.083852
DECL,0.241571
R,2.129196
r,2.164051
Sb,0.684550
Ra,0.842275
Rb,0.342275
Va,0.570183
Vb,0.345964
L_Vf,0.565000
L_Sf,0.646721
U_Vf,0.610000
U_Sf,0.746172
