CD,composite
1,0.528649
2,0.754243
3,0.915871
4,0.595480
5,0.657708
6,0.563816
7,0.515084
8,0.511695
9,0.340399
10,0.480547
11,0.395882
12,0.629141
13,0.297184
14,0.390502
15,0.344044
16,0.424979
17,0.551368
