METRIC,composite,P2020,P2016,S2018,S2016,G2018,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.525098,0.505998,0.496206,0.566709,0.492548,0.586676,0.523254,0.528565,0.016035,0.030337,-0.003467,-0.006559,-0.216215
Sf,0.541915,0.508323,0.442569,0.626407,0.399319,0.684550,0.557527,0.536449,0.044302,0.082584,0.005466,0.010189,0.123380
EG,0.008281,0.003673,0.049843,0.007011,0.085777,-0.011198,-0.011019,0.020681,0.015901,0.768870,-0.012400,-0.599584,-0.779825
PR,-0.016817,-0.002325,0.053637,-0.059698,0.093229,-0.097874,-0.034273,-0.007884,0.029166,-3.699391,-0.008933,1.133054,-0.306281
GAMMA,0.026128,0.008312,0.046848,0.047902,0.075313,0.003021,0.000496,0.030315,0.012551,0.414019,-0.004187,-0.138116,-0.333599
BS_50,0.031146,0.008661,0.046853,0.047817,0.075018,0.027690,0.006542,0.035430,0.010743,0.303218,-0.004284,-0.120914,-0.398771
BV_50,0.010150,0.003050,0.016428,0.016124,0.021294,0.008047,0.002191,0.011189,0.003220,0.287783,-0.001039,-0.092859,-0.322671
BS_V,0.035392,0.008925,0.046782,0.064867,0.074730,0.066727,0.011857,0.045648,0.011763,0.257689,-0.010256,-0.224676,-0.871886
GS,0.026124,0.018279,0.030557,0.032265,0.037511,0.030465,0.017678,0.027793,0.003276,0.117871,-0.001669,-0.060051,-0.509463
MM,0.010014,0.002854,0.011033,0.015314,0.015399,0.005950,-0.003213,0.007890,0.003021,0.382890,0.002124,0.269202,0.703078
LO,0.027335,0.008089,0.014923,0.070530,0.024520,0.083852,0.022602,0.037419,0.012916,0.345172,-0.010084,-0.269489,-0.780737
DECL,1.526484,0.753620,8.062253,2.999531,13.477948,0.241571,-0.803363,4.121927,2.272900,0.551417,-2.595443,-0.629667,-1.141908
R,1.670038,1.387578,15.137329,1.894904,13.510558,2.129196,2.473870,6.088906,2.616580,0.429729,-4.418868,-0.725724,-1.688795
r,2.711078,2.773292,2.789315,2.612983,3.404166,2.164051,2.495188,2.706499,0.167899,0.062035,0.004579,0.001692,0.027272
Sb,0.541915,0.508323,0.442569,0.626407,0.399319,0.684550,0.557527,0.536449,0.044302,0.082584,0.005466,0.010189,0.123380
Ra,0.770957,0.754161,0.721284,0.813204,0.699660,0.842275,0.778764,0.768225,0.022151,0.028834,0.002732,0.003556,0.123335
Rb,0.270957,0.254161,0.221284,0.313204,0.199660,0.342275,0.278764,0.268225,0.022151,0.082584,0.002732,0.010185,0.123335
Va,0.601587,0.617034,0.619008,0.575411,0.598396,0.570183,0.605232,0.597544,0.008444,0.014131,0.004043,0.006766,0.478802
Vb,0.371079,0.374877,0.366069,0.354059,0.377085,0.345964,0.372166,0.365037,0.005093,0.013952,0.006042,0.016552,1.186334
L_Vf,0.505000,0.485000,0.475000,0.545000,0.470000,0.565000,0.500000,0.506667,0.016055,0.031687,-0.001667,-0.003290,-0.103831
L_Sf,0.484423,0.446975,0.382813,0.576458,0.325846,0.646721,0.493458,0.478712,0.048843,0.102030,0.005711,0.011930,0.116926
U_Vf,0.550000,0.530000,0.520000,0.590000,0.515000,0.610000,0.545000,0.551667,0.016055,0.029103,-0.001667,-0.003022,-0.103831
U_Sf,0.605989,0.572017,0.510242,0.694708,0.477908,0.746172,0.609367,0.601736,0.042486,0.070606,0.004253,0.007068,0.100104
