CD,G2018
1,0.592748
2,0.805708
3,0.938277
4,0.652130
5,0.703729
6,0.619293
7,0.580726
8,0.573295
9,0.410805
10,0.548244
11,0.459199
12,0.689339
13,0.358023
14,0.467008
15,0.405945
16,0.493836
17,0.617892
