METRIC,P2020
Vf,0.405356
Sf,0.166869
EG,0.143843
PR,0.238487
GAMMA,0.331103
BS_50,0.252336
BV_50,0.044535
BS_V,-0.018004
GS,0.094595
MM,0.066573
LO,0.100446
DECL,50.796453
R,3.519836
r,0.021434
Sb,0.166869
Ra,0.583434
Rb,0.083434
Va,0.667549
Vb,0.232005
L_Vf,0.385000
L_Sf,0.166704
U_Vf,0.430000
U_Sf,0.168187
