Vf,composite,P2020,P2016,S2020,S2016,G2019,AG2019
0.250,0.054115,0.042905,0.056720,0.086027,0.064389,0.006616,0.108592
0.255,0.069231,0.056553,0.072096,0.102434,0.080364,0.010311,0.123547
0.260,0.085141,0.071603,0.088113,0.117690,0.096514,0.015448,0.136216
0.265,0.100948,0.087296,0.103855,0.131016,0.111900,0.022268,0.146261
0.270,0.115771,0.102769,0.118453,0.141951,0.125712,0.030918,0.153716
0.275,0.128891,0.117197,0.131224,0.150378,0.137398,0.041394,0.158895
0.280,0.139852,0.129919,0.141767,0.156479,0.146715,0.053510,0.162264
0.285,0.148496,0.140526,0.149977,0.160628,0.153715,0.066894,0.164314
0.290,0.154929,0.148890,0.156011,0.163279,0.158672,0.081013,0.165482
0.295,0.159449,0.155127,0.160193,0.164869,0.161979,0.095238,0.166105
0.300,0.162446,0.159524,0.162929,0.165765,0.164059,0.108925,0.166416
0.305,0.164322,0.162456,0.164618,0.166240,0.165291,0.121503,0.166562
0.310,0.165430,0.164304,0.165601,0.166476,0.165979,0.132541,0.166625
0.315,0.166048,0.165406,0.166141,0.166586,0.166342,0.141792,0.166651
0.320,0.166373,0.166028,0.166421,0.166635,0.166521,0.149198,0.166661
0.325,0.166535,0.166359,0.166558,0.166655,0.166606,0.154859,0.166665
0.330,0.166611,0.166526,0.166621,0.166663,0.166643,0.158992,0.166666
0.335,0.166644,0.166606,0.166649,0.166666,0.166659,0.161874,0.166667
0.340,0.166658,0.166642,0.166661,0.166667,0.166667,0.163793,0.166667
0.345,0.166664,0.166658,0.166666,0.166668,0.166672,0.165014,0.166667
0.350,0.166667,0.166664,0.166669,0.166669,0.166677,0.165756,0.166667
0.355,0.166669,0.166667,0.166671,0.166670,0.166684,0.166188,0.166668
0.360,0.166670,0.166670,0.166675,0.166673,0.166694,0.166429,0.166668
0.365,0.166673,0.166672,0.166680,0.166677,0.166711,0.166559,0.166670
0.370,0.166677,0.166676,0.166688,0.166683,0.166737,0.166630,0.166672
0.375,0.166683,0.166682,0.166701,0.166694,0.166778,0.166673,0.166677
0.380,0.166693,0.166690,0.166720,0.166712,0.166841,0.166704,0.166684
0.385,0.166708,0.166704,0.166749,0.166739,0.166935,0.166737,0.166697
0.390,0.166730,0.166724,0.166792,0.166781,0.167074,0.166780,0.166717
0.395,0.166769,0.166754,0.166856,0.166845,0.167277,0.166841,0.166751
0.400,0.166829,0.166798,0.166952,0.166941,0.167567,0.166928,0.166805
0.405,0.166921,0.166863,0.167100,0.167083,0.167978,0.167054,0.166889
0.410,0.167059,0.166970,0.167316,0.167288,0.168550,0.167232,0.167020
0.415,0.167264,0.167131,0.167625,0.167582,0.169334,0.167483,0.167219
0.420,0.167563,0.167366,0.168061,0.167995,0.170396,0.167830,0.167517
0.425,0.167993,0.167705,0.168669,0.168569,0.171811,0.168306,0.167955
0.430,0.168601,0.168187,0.169502,0.169355,0.173669,0.168947,0.168591
0.435,0.169449,0.168861,0.170627,0.170417,0.176076,0.169803,0.169498
0.440,0.170614,0.169791,0.172124,0.171831,0.179149,0.170929,0.170769
0.445,0.172190,0.171054,0.174089,0.173689,0.183016,0.172393,0.172523
0.450,0.174294,0.172747,0.176631,0.176101,0.187816,0.174273,0.174906
0.455,0.177059,0.174984,0.179874,0.179192,0.193691,0.176656,0.178089
0.460,0.180644,0.177899,0.183957,0.183106,0.200786,0.179642,0.182274
0.465,0.185224,0.181646,0.189029,0.188003,0.209238,0.183337,0.187690
0.470,0.190997,0.186399,0.195249,0.194061,0.219177,0.187856,0.194589
0.475,0.198173,0.192352,0.202781,0.201472,0.230713,0.193318,0.203239
0.480,0.206971,0.199712,0.211791,0.210439,0.243938,0.200415,0.213917
0.485,0.217614,0.208700,0.222443,0.221175,0.258916,0.209780,0.226892
0.490,0.230321,0.219539,0.234894,0.233893,0.275682,0.221117,0.242419
0.495,0.245294,0.232456,0.249288,0.248801,0.294243,0.234664,0.260716
0.500,0.262712,0.247664,0.265751,0.266092,0.314575,0.250639,0.281949
0.505,0.282716,0.265357,0.284389,0.285935,0.336630,0.269228,0.306221
0.510,0.305403,0.285699,0.305278,0.308459,0.360333,0.290572,0.333549
0.515,0.330811,0.308806,0.328462,0.333744,0.385594,0.314750,0.363860
0.520,0.358916,0.334742,0.353945,0.361804,0.412307,0.341769,0.396981
0.525,0.389617,0.363497,0.381687,0.392576,0.440358,0.371552,0.432637
0.530,0.422737,0.394983,0.411597,0.425906,0.469620,0.403935,0.470452
0.535,0.458017,0.429019,0.443527,0.461549,0.499959,0.438661,0.509966
0.540,0.495121,0.465334,0.477270,0.499162,0.531226,0.475383,0.550641
0.545,0.533638,0.503558,0.512556,0.538310,0.563254,0.513679,0.591890
0.550,0.573091,0.543234,0.549053,0.578476,0.595852,0.553059,0.633093
0.555,0.612956,0.583828,0.586371,0.619083,0.628799,0.592985,0.673631
0.560,0.652676,0.624750,0.624073,0.659513,0.661839,0.632897,0.712907
0.565,0.691685,0.665375,0.661683,0.699140,0.694679,0.672227,0.750376
0.570,0.729431,0.705075,0.698707,0.737359,0.727000,0.710430,0.785564
0.575,0.765399,0.743247,0.734650,0.773615,0.758455,0.747002,0.818092
0.580,0.799139,0.779346,0.769042,0.807434,0.788694,0.781499,0.847679
0.585,0.830280,0.812907,0.801454,0.838439,0.817374,0.813558,0.874157
0.590,0.858550,0.843572,0.831526,0.866370,0.844182,0.842899,0.897463
0.595,0.883780,0.871097,0.858975,0.891087,0.868854,0.869342,0.917636
0.600,0.905908,0.895361,0.883615,0.912566,0.891188,0.892798,0.934803
0.605,0.924974,0.916362,0.905355,0.930893,0.911061,0.913271,0.949161
0.610,0.941107,0.934202,0.924198,0.946242,0.928428,0.930848,0.960963
0.615,0.954508,0.949072,0.940239,0.958857,0.943326,0.945686,0.970492
0.620,0.965434,0.961234,0.953642,0.969030,0.955864,0.957996,0.978051
0.625,0.974174,0.970988,0.964634,0.977079,0.966213,0.968032,0.983938
0.630,0.981033,0.978661,0.973475,0.983326,0.974585,0.976066,0.988440
0.635,0.986312,0.984579,0.980451,0.988080,0.981223,0.982380,0.991819
0.640,0.990295,0.989053,0.985846,0.991628,0.986379,0.987250,0.994310
0.645,0.993243,0.992369,0.989937,0.994224,0.990302,0.990936,0.996110
0.650,0.995380,0.994777,0.992976,0.996087,0.993225,0.993671,0.997387
0.655,0.996899,0.996491,0.995188,0.997397,0.995356,0.995661,0.998276
0.660,0.997958,0.997686,0.996766,0.998300,0.996879,0.997081,0.998883
0.665,0.998680,0.998503,0.997868,0.998911,0.997943,0.998073,0.999289
0.670,0.999163,0.999050,0.998621,0.999315,0.998671,0.998752,0.999556
0.675,0.999479,0.999409,0.999126,0.999577,0.999158,0.999207,0.999728
0.680,0.999682,0.999639,0.999457,0.999744,0.999477,0.999506,0.999836
0.685,0.999810,0.999784,0.999669,0.999848,0.999682,0.999699,0.999903
