Vf,composite
0.250,0.054115
0.255,0.069231
0.260,0.085141
0.265,0.100948
0.270,0.115771
0.275,0.128891
0.280,0.139852
0.285,0.148496
0.290,0.154929
0.295,0.159449
0.300,0.162446
0.305,0.164322
0.310,0.165430
0.315,0.166048
0.320,0.166373
0.325,0.166535
0.330,0.166611
0.335,0.166644
0.340,0.166658
0.345,0.166664
0.350,0.166667
0.355,0.166669
0.360,0.166670
0.365,0.166673
0.370,0.166677
0.375,0.166683
0.380,0.166693
0.385,0.166708
0.390,0.166730
0.395,0.166769
0.400,0.166829
0.405,0.166921
0.410,0.167059
0.415,0.167264
0.420,0.167563
0.425,0.167993
0.430,0.168601
0.435,0.169449
0.440,0.170614
0.445,0.172190
0.450,0.174294
0.455,0.177059
0.460,0.180644
0.465,0.185224
0.470,0.190997
0.475,0.198173
0.480,0.206971
0.485,0.217614
0.490,0.230321
0.495,0.245294
0.500,0.262712
0.505,0.282716
0.510,0.305403
0.515,0.330811
0.520,0.358916
0.525,0.389617
0.530,0.422737
0.535,0.458017
0.540,0.495121
0.545,0.533638
0.550,0.573091
0.555,0.612956
0.560,0.652676
0.565,0.691685
0.570,0.729431
0.575,0.765399
0.580,0.799139
0.585,0.830280
0.590,0.858550
0.595,0.883780
0.600,0.905908
0.605,0.924974
0.610,0.941107
0.615,0.954508
0.620,0.965434
0.625,0.974174
0.630,0.981033
0.635,0.986312
0.640,0.990295
0.645,0.993243
0.650,0.995380
0.655,0.996899
0.660,0.997958
0.665,0.998680
0.670,0.999163
0.675,0.999479
0.680,0.999682
0.685,0.999810
0.690,0.999888
0.695,0.999936
0.700,0.999964
0.705,0.999980
0.710,0.999989
0.715,0.999994
0.720,0.999997
0.725,0.999998
0.730,0.999999
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
