Vf,composite,Vf,P2020,Vf,P2016,Vf,S2020,Vf,S2016,Vf,G2019,Vf,AG2019
0.250,0.054115,0.250,0.042905,0.250,0.056720,0.250,0.086027,0.250,0.064389,0.250,0.006616,0.250,0.108592
0.255,0.069231,0.255,0.056553,0.255,0.072096,0.255,0.102434,0.255,0.080364,0.255,0.010311,0.255,0.123547
0.260,0.085141,0.260,0.071603,0.260,0.088113,0.260,0.117690,0.260,0.096514,0.260,0.015448,0.260,0.136216
0.265,0.100948,0.265,0.087296,0.265,0.103855,0.265,0.131016,0.265,0.111900,0.265,0.022268,0.265,0.146261
0.270,0.115771,0.270,0.102769,0.270,0.118453,0.270,0.141951,0.270,0.125712,0.270,0.030918,0.270,0.153716
0.275,0.128891,0.275,0.117197,0.275,0.131224,0.275,0.150378,0.275,0.137398,0.275,0.041394,0.275,0.158895
0.280,0.139852,0.280,0.129919,0.280,0.141767,0.280,0.156479,0.280,0.146715,0.280,0.053510,0.280,0.162264
0.285,0.148496,0.285,0.140526,0.285,0.149977,0.285,0.160628,0.285,0.153715,0.285,0.066894,0.285,0.164314
0.290,0.154929,0.290,0.148890,0.290,0.156011,0.290,0.163279,0.290,0.158672,0.290,0.081013,0.290,0.165482
0.295,0.159449,0.295,0.155127,0.295,0.160193,0.295,0.164869,0.295,0.161979,0.295,0.095238,0.295,0.166105
0.300,0.162446,0.300,0.159524,0.300,0.162929,0.300,0.165765,0.300,0.164059,0.300,0.108925,0.300,0.166416
0.305,0.164322,0.305,0.162456,0.305,0.164618,0.305,0.166240,0.305,0.165291,0.305,0.121503,0.305,0.166562
0.310,0.165430,0.310,0.164304,0.310,0.165601,0.310,0.166476,0.310,0.165979,0.310,0.132541,0.310,0.166625
0.315,0.166048,0.315,0.165406,0.315,0.166141,0.315,0.166586,0.315,0.166342,0.315,0.141792,0.315,0.166651
0.320,0.166373,0.320,0.166028,0.320,0.166421,0.320,0.166635,0.320,0.166521,0.320,0.149198,0.320,0.166661
0.325,0.166535,0.325,0.166359,0.325,0.166558,0.325,0.166655,0.325,0.166606,0.325,0.154859,0.325,0.166665
0.330,0.166611,0.330,0.166526,0.330,0.166621,0.330,0.166663,0.330,0.166643,0.330,0.158992,0.330,0.166666
0.335,0.166644,0.335,0.166606,0.335,0.166649,0.335,0.166666,0.335,0.166659,0.335,0.161874,0.335,0.166667
0.340,0.166658,0.340,0.166642,0.340,0.166661,0.340,0.166667,0.340,0.166667,0.340,0.163793,0.340,0.166667
0.345,0.166664,0.345,0.166658,0.345,0.166666,0.345,0.166668,0.345,0.166672,0.345,0.165014,0.345,0.166667
0.350,0.166667,0.350,0.166664,0.350,0.166669,0.350,0.166669,0.350,0.166677,0.350,0.165756,0.350,0.166667
0.355,0.166669,0.355,0.166667,0.355,0.166671,0.355,0.166670,0.355,0.166684,0.355,0.166188,0.355,0.166668
0.360,0.166670,0.360,0.166670,0.360,0.166675,0.360,0.166673,0.360,0.166694,0.360,0.166429,0.360,0.166668
0.365,0.166673,0.365,0.166672,0.365,0.166680,0.365,0.166677,0.365,0.166711,0.365,0.166559,0.365,0.166670
0.370,0.166677,0.370,0.166676,0.370,0.166688,0.370,0.166683,0.370,0.166737,0.370,0.166630,0.370,0.166672
0.375,0.166683,0.375,0.166682,0.375,0.166701,0.375,0.166694,0.375,0.166778,0.375,0.166673,0.375,0.166677
0.380,0.166693,0.380,0.166690,0.380,0.166720,0.380,0.166712,0.380,0.166841,0.380,0.166704,0.380,0.166684
0.385,0.166708,0.385,0.166704,0.385,0.166749,0.385,0.166739,0.385,0.166935,0.385,0.166737,0.385,0.166697
0.390,0.166730,0.390,0.166724,0.390,0.166792,0.390,0.166781,0.390,0.167074,0.390,0.166780,0.390,0.166717
0.395,0.166769,0.395,0.166754,0.395,0.166856,0.395,0.166845,0.395,0.167277,0.395,0.166841,0.395,0.166751
0.400,0.166829,0.400,0.166798,0.400,0.166952,0.400,0.166941,0.400,0.167567,0.400,0.166928,0.400,0.166805
0.405,0.166921,0.405,0.166863,0.405,0.167100,0.405,0.167083,0.405,0.167978,0.405,0.167054,0.405,0.166889
0.410,0.167059,0.410,0.166970,0.410,0.167316,0.410,0.167288,0.410,0.168550,0.410,0.167232,0.410,0.167020
0.415,0.167264,0.415,0.167131,0.415,0.167625,0.415,0.167582,0.415,0.169334,0.415,0.167483,0.415,0.167219
0.420,0.167563,0.420,0.167366,0.420,0.168061,0.420,0.167995,0.420,0.170396,0.420,0.167830,0.420,0.167517
0.425,0.167993,0.425,0.167705,0.425,0.168669,0.425,0.168569,0.425,0.171811,0.425,0.168306,0.425,0.167955
0.430,0.168601,0.430,0.168187,0.430,0.169502,0.430,0.169355,0.430,0.173669,0.430,0.168947,0.430,0.168591
0.435,0.169449,0.435,0.168861,0.435,0.170627,0.435,0.170417,0.435,0.176076,0.435,0.169803,0.435,0.169498
0.440,0.170614,0.440,0.169791,0.440,0.172124,0.440,0.171831,0.440,0.179149,0.440,0.170929,0.440,0.170769
0.445,0.172190,0.445,0.171054,0.445,0.174089,0.445,0.173689,0.445,0.183016,0.445,0.172393,0.445,0.172523
0.450,0.174294,0.450,0.172747,0.450,0.176631,0.450,0.176101,0.450,0.187816,0.450,0.174273,0.450,0.174906
0.455,0.177059,0.455,0.174984,0.455,0.179874,0.455,0.179192,0.455,0.193691,0.455,0.176656,0.455,0.178089
0.460,0.180644,0.460,0.177899,0.460,0.183957,0.460,0.183106,0.460,0.200786,0.460,0.179642,0.460,0.182274
0.465,0.185224,0.465,0.181646,0.465,0.189029,0.465,0.188003,0.465,0.209238,0.465,0.183337,0.465,0.187690
0.470,0.190997,0.470,0.186399,0.470,0.195249,0.470,0.194061,0.470,0.219177,0.470,0.187856,0.470,0.194589
0.475,0.198173,0.475,0.192352,0.475,0.202781,0.475,0.201472,0.475,0.230713,0.475,0.193318,0.475,0.203239
0.480,0.206971,0.480,0.199712,0.480,0.211791,0.480,0.210439,0.480,0.243938,0.480,0.200415,0.480,0.213917
0.485,0.217614,0.485,0.208700,0.485,0.222443,0.485,0.221175,0.485,0.258916,0.485,0.209780,0.485,0.226892
0.490,0.230321,0.490,0.219539,0.490,0.234894,0.490,0.233893,0.490,0.275682,0.490,0.221117,0.490,0.242419
0.495,0.245294,0.495,0.232456,0.495,0.249288,0.495,0.248801,0.495,0.294243,0.495,0.234664,0.495,0.260716
