METRIC,G2019
Vf,0.477699
Sf,0.196702
EG,0.258696
PR,0.280997
GAMMA,0.271644
BS_50,0.249361
BV_50,0.043214
BS_V,0.223688
GS,0.084668
MM,0.059121
LO,0.176570
DECL,57.326955
R,13.600195
r,1.419385
Sb,0.196702
Ra,0.598351
Rb,0.098351
Va,0.586817
Vb,0.236613
L_Vf,0.455000
L_Sf,0.176656
U_Vf,0.500000
U_Sf,0.250639
