CD,composite,P2020,P2016,S2020,S2016,G2019,AG2019,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
1,0.284091,0.298586,0.273237,0.259619,0.248203,0.423806,0.231905,0.289226,0.028461,0.098404,-0.005135,-0.017754,-0.180422
3,0.290539,0.308425,0.303940,0.271230,0.249439,0.368309,0.256042,0.292897,0.018043,0.061602,-0.002358,-0.008051,-0.130688
6,0.325791,0.328172,0.315438,0.292223,0.306089,0.453413,0.288914,0.330708,0.025252,0.076357,-0.004917,-0.014868,-0.194717
5,0.340882,0.349394,0.352195,0.306162,0.343982,0.412215,0.287468,0.341903,0.017655,0.051637,-0.001021,-0.002986,-0.057831
4,0.364923,0.377730,0.380125,0.346791,0.364686,0.413349,0.303743,0.364404,0.015067,0.041347,0.000519,0.001424,0.034446
2,0.753125,0.768471,0.770337,0.733990,0.722122,0.821319,0.696826,0.752178,0.017957,0.023873,0.000947,0.001259,0.052737
